,Tropics,Savanna,Warm Temperate,Cool Temperate,Mediterranean,Desert
rain_anom,0.4481323145516799,0.48901548956910834,0.5390941838365851,0.45021283946661045,0.5970917455241994,0.5453998804369224
rain_cml3_anom,0.3850744992386254,0.5430261126422762,0.6738712023478305,0.5846552803874893,0.691361711787497,0.6771927265443157
rain_cml6_anom,0.376596959874681,0.622514265749155,0.6716972531577602,0.5876066500363982,0.7186546648810374,0.7796812791100836
rain_cml12_anom,0.22074415153368693,0.6337759428567747,0.6003787819022953,0.5563809819604311,0.6796076388193769,0.7934641293685819
tavg_anom,0.07034568486821897,-0.31199202782433,-0.17357073732333564,0.0556133890648887,-0.14014262165672003,-0.28074166808956075
srad_anom,-0.5195948231488071,-0.5948178061443307,-0.5634389857036733,-0.384988661495354,-0.5549011251661214,-0.5369138487646429
kNDVI_anom,0.6791378390682513,0.7758406920133696,0.8064556600322109,0.6940556427585804,0.7140425346123537,0.7529119714828924
