time,NEE_SOLO_EC,GPP_SOLO_EC,ER_SOLO_EC,ET_EC,Ta_EC,Sws_EC,RH_EC,Precip_EC,Fn_EC,Fe_EC,Fh_EC,Fsd_EC,Fld_EC,CO2_EC,VPD_EC,kNDVI_RS,x_coord,y_coord,MODIS_GPP,GOSIF_GPP,DIFFUSE_GPP,CABLE_BIOS_NEE,CABLE_BIOS_GPP,CABLE_BIOS_ER,This_Study_NEE,This_Study_GPP,This_Study_ER,FLUXCOM_RS_GPP,FLUXCOM_RS_NEE,FLUXCOM_RS_ER
2009-02-15,4.0647472470298975,168.95909081342143,173.0238380604513,114.35938933250227,26.074931512673412,0.3434535445422866,94.58619565876272,5.099999999999984,121.4087695826147,115.98553144271972,7.9746827879019975,181.82354249999997,442.7165023256272,387.92770233532946,1.8693594485003828,0.626181,145.42715,-16.238189,41.758152,260.86166,109.11322,,,,-11.651164,195.26903,183.3605,241.76102,-43.899708,178.91763
2009-03-15,-48.497929280852404,183.66659122941962,135.16866194856723,126.43385845701442,25.409476113054296,0.3202403409120153,89.32722032073211,20.0,127.7760994939488,115.82217559368675,5.635915239654585,159.2814372960499,427.1530085674708,376.13430191379905,3.539213698048069,0.62420726,145.42715,-16.238189,60.318134,279.07083,84.999886,,,,-25.057102,200.9255,176.0209,228.99011,-41.265312,174.18665
2009-04-15,-40.0550080454795,98.01278861302184,57.95778056754236,99.6878212136506,24.586084756813822,0.3004258565791304,88.17113753854431,301.79999999999995,95.98547735272116,94.36498384637852,5.858927013102996,116.92251487642073,419.6033036141146,376.4594808832965,3.7302217159482685,0.56502223,145.42715,-16.238189,43.83769,242.53416,76.41063,,,,-22.9598,184.09142,165.87422,211.15857,-35.24817,166.08418
2009-05-15,-78.63080388651505,132.4873422909585,53.856538404443455,106.82256128833635,22.82062042029781,0.3110189062413369,88.51976646955958,194.14999999999998,72.87059575225992,97.85686842034873,-4.193798547170333,123.83545018785854,412.225383095383,377.8483502473949,3.247206059510024,0.6339492,145.42715,-16.238189,39.91636,245.5825,87.89984,,,,-43.140812,177.4412,142.34102,201.74484,-35.863655,156.92407
2009-06-15,-42.38632573837694,132.26947051080754,89.8831447724306,80.08578464814498,22.35442985020283,0.2897975128461796,89.60784943463254,29.900000000000002,90.35801971028536,75.80959923329033,5.950709716941859,116.60972291724696,402.0678130493905,371.0700413201961,2.8556043761433436,0.61124605,145.42715,-16.238189,57.956047,228.31917,74.725174,,,,-39.764774,177.71,144.95944,201.31284,-36.454613,153.25421
2009-07-15,-55.95315108086025,121.70418332938267,65.75103224852242,80.38645964738078,21.80058406378618,0.27206030724547925,89.22111354083046,77.08846153846154,77.11042311599178,73.63956742488556,2.083371562602685,102.67428430766164,393.16457086314915,372.16449219750905,2.8614457656324324,0.6246104,145.42715,-16.238189,56.88411,249.5425,77.07727,,,,-40.306267,170.8431,138.32353,198.02075,-37.339085,148.56456
2009-08-15,-68.91855281381957,157.17926306429325,88.2607102504737,81.81895472879349,22.13314097498791,0.2656223634650167,89.74464750530126,25.4,118.25712656975332,74.95183218435174,24.334386794313016,164.88089510935782,395.2832685535855,367.8229933879324,2.7794847651950088,0.6068014,145.42715,-16.238189,76.46618,272.0425,92.07278,,,,-42.179188,180.96304,145.61726,207.56285,-42.851246,151.57587
2009-09-15,-56.07656028960187,171.1428783773031,115.06631808770123,72.38791684884202,23.4909947488575,0.23421336093577447,83.69541287929404,10.400000000000002,138.20828412765138,68.52275956030817,38.17135919037064,162.14239955954127,403.44089040759604,360.65270523948544,4.806955541090267,0.55433756,145.42715,-16.238189,63.156597,283.2225,95.1876,,,,-38.88197,187.58116,151.78336,208.64975,-42.589466,154.02376
2009-10-15,-39.47144235566451,171.99370184963777,132.52225949397325,74.7967447554851,23.986582907756173,0.22949643317865087,72.57784391997049,33.0,140.8297902543021,68.51900124404801,42.87477614055731,180.0157903644874,405.3984934742039,347.2856947266778,8.335226274416977,0.52924764,145.42715,-16.238189,72.02245,324.55917,99.89988,,,,-32.711594,183.26068,153.62007,204.93042,-40.31383,153.96307
2009-11-15,-21.648287792456927,150.02031773507872,128.3720299426218,90.38321659174322,24.61772227510648,0.28156114171978847,87.0990222012662,212.39999999999998,120.66383510647445,85.5571991626162,15.816416772623713,183.53940739597465,415.36155266104004,369.53168981273774,4.076201069418061,0.5668598,145.42715,-16.238189,87.14204,336.99,85.31875,,,,-18.501577,185.65451,171.25702,220.82678,-44.730534,162.31195
2009-12-15,3.633496254675766,171.96736381696502,175.60086007164077,104.84074211185322,25.51295714473246,0.28031100684199306,92.5291533295481,301.2,135.73771336764415,96.04138472432908,15.143238379694628,213.0672870190664,428.13669690399104,380.14678379917603,2.4930731202024994,0.5784696,145.42715,-16.238189,65.94964,335.28915,101.1704,,,,-14.118642,192.16891,180.37798,234.31393,-44.97768,173.28226
2010-01-15,12.732512430554003,186.58899474060388,199.32150717115786,125.55200925647735,25.385332483482202,0.3368903618886925,96.75697520882026,1031.0689795918368,115.58150891022086,115.01434061816491,-7.066795738922221,174.70907650992405,441.1816013199223,376.16638149655176,1.0738432715554211,0.58337224,145.42715,-16.238189,47.165546,299.13998,72.405014,,,,0.1413626,185.18846,184.16054,211.78189,-30.747793,171.0688
