time,NEE_SOLO_EC,GPP_SOLO_EC,ER_SOLO_EC,ET_EC,Ta_EC,Sws_EC,RH_EC,Precip_EC,Fn_EC,Fe_EC,Fh_EC,Fsd_EC,Fld_EC,CO2_EC,VPD_EC,kNDVI_RS,x_coord,y_coord,MODIS_GPP,GOSIF_GPP,DIFFUSE_GPP,CABLE_BIOS_NEE,CABLE_BIOS_GPP,CABLE_BIOS_ER,This_Study_NEE,This_Study_GPP,This_Study_ER,FLUXCOM_RS_GPP,FLUXCOM_RS_NEE,FLUXCOM_RS_ER
2006-03-15,-78.03562197859942,130.21301822521178,52.177396246612375,107.16866216045939,27.13918884408602,0.9870409744623656,85.35542753894832,305.7,136.38989485887097,98.17392080230853,7.510855121769571,198.30864654569893,396.77254032258065,338.02777205793933,5.39250177069532,0.46481845,131.3072,-12.5452,93.8226,229.8177,142.80637,-35.21187469985937,195.74310811669739,162.14784341931545,-30.419436,158.6098,130.7831,153.78526,-35.699093,113.08564
2006-04-15,-46.07528356935557,81.96282990883925,35.88754633948369,127.64007546584696,26.681863888888888,0.9871633680555555,80.73449992436797,450.0,149.47960949999998,120.82472575733105,4.755507851483844,218.1260337361111,383.14717361111104,331.40076826615103,6.901113532495799,0.4768893,131.3072,-12.5452,131.79654,180.7006,158.04941,-40.24952438333183,198.40448835221187,157.1772848253147,-27.404549,150.28516,123.91593,163.799,-46.487263,111.05816
2006-05-15,-51.056833883749576,87.48756121270213,36.43072732895255,165.65284995380406,24.364907930107528,0.987579495967742,70.66274060726305,0.0,146.28512137768817,151.74948948874464,3.885270666222524,258.7896049462366,336.0815524193548,335.0342173114639,9.12692867940264,0.41589433,131.3072,-12.5452,211.7551,148.5528,128.53046,-63.55388978069033,205.67364306644475,142.09092684726707,-34.146965,128.83897,94.83209,139.55533,-38.76208,93.66481
2006-06-15,-40.60228239010313,61.88377854300669,21.281496152903557,107.31002433718245,21.682265277777777,0.9851391875,68.29991916731737,0.0,124.22534615972222,101.58019896362302,13.675862152360114,231.89156202777775,323.5259652777778,332.04373210522164,8.353419346905639,0.35075134,131.3072,-12.5452,149.93932,113.6618,104.62868,-62.56754012612309,183.4164112184901,122.28837913379286,-31.191853,108.1564,79.70417,98.118835,-20.909992,71.76014
2006-07-15,-30.387493187529124,53.84191590401214,23.45442271648302,106.11603529186516,21.615591129032257,0.9837601545698924,69.58446736624619,0.0,131.04110932795697,97.20964164879044,18.260731837784206,237.96733084005373,322.71904569892473,336.65339964164906,7.98161216556851,0.28041792,131.3072,-12.5452,102.01037,93.5587,91.507454,13.315919788516698,82.7549019771909,99.41691458825672,-23.843985,96.266235,77.225235,73.016785,-12.012694,59.023357
2006-08-15,-18.56093871567213,42.48012753312541,23.919188817453282,116.17152511842468,22.509428091397847,0.9872336760752688,65.41583351913701,0.0,152.54840494623656,106.42116712610768,14.553176460896324,265.3541652352151,324.0949126344086,345.29255275034245,9.595164301277414,0.21742405,131.3072,-12.5452,77.94579,85.8721,81.42625,74.2274694597405,17.380899204354254,92.07979194902103,-17.425045,86.89176,73.16015,58.46537,-5.7287526,52.871082
2006-09-15,-5.056620576929074,25.249522040199167,20.19290146327009,124.1792303273476,24.654875961718123,0.9890430893187774,64.32785174781273,0.0,175.91303784596613,117.54867265863427,29.09317182401483,285.7308461101175,341.95416893187945,347.0681732508844,11.296658488883976,0.1756572,131.3072,-12.5452,39.27083,86.1204,74.35851,86.55698126342931,9.194424935786964,95.82401514318305,-10.642179,80.0854,73.79807,54.30521,-1.5250155,53.674896
2006-10-15,7.188625686648682,12.197242012184045,19.38586769883273,129.02014349225811,26.665160212755147,0.8729510602433321,63.5281341258502,0.0,184.04372255242933,118.19139190285412,65.08474432506657,292.90733949851113,361.1443344851792,339.74245410562827,13.051451161077866,0.15659262,131.3072,-12.5452,40.219124,93.8113,76.281685,80.98993366081156,12.21396426140074,93.12488205768094,-3.7862544,76.40325,73.45069,62.321384,-3.3835528,60.3366
2006-11-15,-38.90003662656555,59.9267890239975,21.02675239743195,123.72835314475434,28.211246145735505,0.8705358513546853,70.70411257222958,124.19999999999999,181.43891424516346,117.12187009103751,56.655506558876674,276.86134230101476,383.9363185269973,344.719063320891,11.503996755225858,0.220554,131.3072,-12.5452,63.174843,117.3677,99.96927,-13.731434459423665,142.24670251237768,127.80127367507464,-9.614741,107.925224,102.37168,101.48574,-19.725838,79.77179
2006-12-15,-33.19955237204987,58.630892799640726,25.43134042759085,127.68416278219073,27.92861155913978,0.7876202135171911,74.2009317306343,236.60000000000002,164.64467844758065,116.96754099551342,43.46003617590874,241.5843445094086,393.04643145161293,357.0934781695681,9.960988282071426,0.28008777,131.3072,-12.5452,76.66655,173.0569,148.38678,-31.263224639964683,176.2034191371535,142.04682540697544,-22.026304,140.29265,117.14163,139.77095,-32.400826,102.484985
2007-01-15,-61.660641978754626,111.70575933717546,50.04511735842083,117.41205431858954,27.640619623655912,0.9994993077956988,81.97766361989838,247.4,151.1564056048387,107.55757783605559,19.79556926417281,217.91713196236557,395.9949798387097,352.9269159154118,6.8393119241856155,0.3682492,131.3072,-12.5452,93.801926,219.6135,131.24423,-46.017781279240126,215.6857199573338,168.80603569380577,-29.050531,155.14578,127.08451,155.61061,-40.03722,110.87602
2007-02-15,-60.861297593424915,106.63187585368237,45.77057826025747,138.3061692995816,27.307877976190476,0.9940387723214286,81.74381385869938,288.9,178.8568413764881,140.27282448472778,9.360224479209169,248.77295744047618,392.3452306547619,343.89604076876344,6.790964279484313,0.45641065,131.3072,-12.5452,115.470726,205.8604,186.99277,-60.30306908999059,229.3186233167971,170.62874720498283,-28.690561,160.97377,131.55106,184.01614,-58.055305,119.04731
2007-03-15,-45.52057378103984,77.54725047368962,32.026676692649765,124.33597322452395,26.908594875807673,0.9931087623440423,84.1357620918051,696.5,139.36830527635806,113.90036734755526,5.1333195456520535,194.94794929756813,395.10745673832577,355.860952820479,5.761020844437327,0.47974876,131.3072,-12.5452,154.94165,197.4432,174.2758,-35.594833558840165,201.7092325464476,163.12003951837994,-25.830696,151.23137,128.96674,169.71675,-47.956947,116.09602
2007-04-15,-82.47466756069971,115.25146278255323,32.77679522185352,121.78561608947172,27.386847222222222,0.9914546666666666,75.4629776512921,0.0,175.71686642361112,115.28286560074375,9.01509217815171,274.2907502361111,372.53766666666667,372.0893601102821,9.17075283320267,0.4482012,131.3072,-12.5452,162.10106,181.068,138.90123,-63.56114531246627,223.23499539940585,160.16787352543457,-39.689674,154.19493,110.58082,162.43553,-46.548794,108.33293
2007-05-15,-52.05172591146811,82.23027447225542,30.17854856078731,108.19829284580197,26.601158602150537,0.9914315725806452,75.70947568107427,67.8,148.65836367607525,99.11713385844524,18.431702216461556,247.56617897849466,367.10289650537635,372.4459292773608,8.658821208078896,0.36845842,131.3072,-12.5452,179.07184,152.8653,111.553055,-60.61235494815315,204.2536210953176,144.44271640196652,-23.191383,122.17905,97.74778,112.05672,-21.821672,84.55064
2007-06-15,-49.64898918835772,70.68082113350052,21.031831945142798,82.15462180546496,22.09862090277778,0.9912656597222222,64.96838257843534,2.2,118.57369706380435,77.7679707028892,11.530968711936092,211.46068570138885,341.79096729991545,355.7911345623324,9.474153224571008,0.31825468,131.3072,-12.5452,139.98334,102.4292,97.675415,-6.26059722414041,112.72400392796,110.18192977330276,-22.920383,102.16929,81.42197,78.28275,-11.387692,63.898796
2007-07-15,-42.49879540630671,53.5322360882372,11.033440681930479,89.15667069461723,20.69893185483871,0.9901502889784947,67.13093405847549,0.0,136.11879280241936,81.67368847681931,27.40894222613389,250.7780468951613,317.19592069892474,361.03823030654087,8.14389945508587,0.24309985,131.3072,-12.5452,125.326935,80.6833,76.95615,58.69587848379696,25.150523791694287,84.93520056558873,-20.818563,88.35583,71.68124,61.904175,-6.760191,54.175964
2007-08-15,-25.971505319917412,37.36271396251754,11.391208642600127,108.91190645317268,22.967188844086017,0.9922255981182795,64.69601683870555,0.8,153.02998536290323,99.77085337272418,35.383230781226594,257.98803476478497,337.6732594086021,363.9901311770593,10.076866753951142,0.19292443,131.3072,-12.5452,70.572014,78.5354,73.127205,78.80934530273181,11.655434140304981,90.64040433135914,-12.978906,85.48174,76.188,48.995884,0.32905498,50.166862
2007-09-15,-6.848023447341541,14.568344165500632,7.7203207181590905,100.23035257176825,25.69561273711537,0.869731727233066,63.36082041991901,11.2,154.837575783921,94.87854670913988,60.97794018342457,270.75808553366613,351.6197827033156,331.2496881235015,12.36333300698579,0.18106528,131.3072,-12.5452,29.394789,76.9956,68.61125,85.48700106806503,11.562613761024092,93.38484685803462,-3.2266214,78.698135,79.16392,47.832214,3.121664,52.826797
2007-10-15,-5.329325426096682,17.494833851820278,12.165508425723594,90.85443088576382,28.111174731182796,0.7662593413978495,64.84158615202337,125.39999999999999,162.65078284946236,83.22895445837443,77.6260017817661,266.06291367607525,379.3651747311828,323.01109444728974,13.7237497622888,0.15963687,131.3072,-12.5452,27.062902,95.0318,72.47298,54.52711259967691,49.53506965354502,103.85136540151646,-6.2191386,83.29957,82.662506,60.84764,-1.181437,59.989697
2007-11-15,1.1072608192649847,10.374697965961792,11.481958785226775,78.20284342607783,27.626956944444444,0.7358416666666667,72.43359439497928,142.3,146.74073739583335,74.02719777400641,74.38212459713755,231.62457915972223,388.713625,329.3735343337356,10.45262654999174,0.14989242,131.3072,-12.5452,61.140305,130.138,97.53662,-33.62670658949188,169.73871021885003,133.908707865295,-8.412066,112.55324,104.97762,100.7927,-18.131144,80.43343
2007-12-15,-46.9785287579809,66.01493725661582,19.036408498634934,100.78908719363167,27.849716658310964,0.7478615049144766,75.5704256263941,366.0,148.74692386037114,92.32978805939915,44.16101961261099,222.73714352824544,395.1291162738132,375.2965265939095,9.387758763271412,0.16240917,131.3072,-12.5452,60.452545,173.4075,138.99855,-53.0414069918188,202.47351701711108,152.6661127847126,-16.789185,138.76765,120.83242,134.89589,-29.752306,101.65732
2008-01-15,-68.62667435642139,123.22013643771695,54.593462081295556,142.5413195340281,27.710712365591398,0.9862890456989248,78.99843378182602,314.4,169.96777213709677,130.5777261083824,3.781293839880381,237.39806634408606,393.16813172043004,367.04964963751985,8.003482509473276,0.46293032,131.3072,-12.5452,116.82446,211.2681,146.54604,-64.20367383132542,233.85765087929005,165.59136471173656,-39.91105,169.00798,131.39111,155.42322,-40.540077,110.60856
