time,NEE_SOLO_EC,GPP_SOLO_EC,ER_SOLO_EC,ET_EC,Ta_EC,Sws_EC,RH_EC,Precip_EC,Fn_EC,Fe_EC,Fh_EC,Fsd_EC,Fld_EC,CO2_EC,VPD_EC,kNDVI_RS,x_coord,y_coord,MODIS_GPP,GOSIF_GPP,DIFFUSE_GPP,CABLE_BIOS_NEE,CABLE_BIOS_GPP,CABLE_BIOS_ER,This_Study_NEE,This_Study_GPP,This_Study_ER,FLUXCOM_RS_GPP,FLUXCOM_RS_NEE,FLUXCOM_RS_ER
2009-11-15,10.716565460380638,80.44870476962161,91.16527023000225,46.92802777086007,32.57843891267833,0.03380766185455428,45.72660290001871,36.800000000000004,141.15247759625058,44.42230283124316,77.51342367908454,287.47173022511737,437.81019466067727,374.8016554421566,27.56608350119671,0.14226364,132.3706,-15.2588,7.4088373,82.2408,42.286503,19.808960278902717,22.20988649252255,41.674432925004155,3.207419,55.164635,54.800583,36.434395,3.1553695,43.213936
2009-12-15,6.026555788200001,104.3633508048,110.389906593,69.85374011248777,31.50068828433727,0.06841821833142986,59.11591528958275,157.55555555555554,145.94961217835882,63.99086646505376,63.14729811827957,256.74228223154597,446.68211356552956,365.1213079715341,19.50128367159829,0.18072271,132.3706,-15.2588,57.260147,108.4408,90.54775,-8.401334724470507,60.35572061752025,49.85885528553159,-2.2456393,75.247406,76.348915,61.709225,-4.4664607,56.690914
2010-01-15,-8.48958294320261,133.40649759538596,124.91691465218335,91.74614494361879,30.029882515991453,0.09831136840927888,72.44392243427798,204.4,154.5642267308488,84.04582632678579,37.63149074045063,241.2474406423705,449.0078983449775,366.81246879824965,12.05550458732237,0.26497492,132.3706,-15.2588,116.611786,161.1597,97.9961,-61.04995985325346,154.1176556760448,82.81107025495118,-24.48177,130.63698,98.75347,90.54311,-14.829909,71.98757
2010-02-15,-25.733590338128693,148.5868565802828,122.85326624215409,101.63932283537974,29.740476279761907,0.12091272058779763,74.21564427090938,246.2111111111111,168.80522746648273,103.08459098416324,28.36760585975072,261.94103104986755,446.5466983630952,367.9885264901574,11.089054270365468,0.2905184,132.3706,-15.2588,142.1495,145.1846,124.19592,-28.404977893145922,192.44223253587745,142.70963215870526,-27.088018,128.59698,96.30565,112.2301,-22.107203,83.76334
2010-03-15,-34.774770881363565,148.2843821044355,113.50961122307194,112.58518818841368,29.47472151209677,0.07805411905913978,66.0956004680073,51.50000000000001,166.7211195562801,103.13583398263583,28.587904316845535,272.762470562621,429.0334801747312,377.1188566372248,14.353545215155759,0.30056408,132.3706,-15.2588,171.59958,148.9342,116.25212,-27.466936984122118,181.53871873260016,152.76239158396345,-39.327732,115.12182,76.36582,104.88811,-17.978626,79.88016
2010-04-15,-29.312572039845946,131.92386828869294,102.611296248847,78.57987208333613,29.024882405732438,0.05590160449371876,67.14060551922582,14.28888888888889,140.3973595396471,74.38409496283701,34.331713787038964,236.86795937891807,430.74504563043655,366.61721218091543,13.54458169452915,0.2832453,132.3706,-15.2588,117.56172,120.4225,98.71882,-2.2120928140982867,148.03586422105326,146.3388525399488,-24.747534,107.572395,77.47186,82.59371,-9.162071,69.021454
2010-05-15,-10.36739654134854,112.98186411694854,102.61446757559999,60.6630327184668,26.57099127016129,0.0660793225,65.19422455946912,46.199999999999996,96.97564659535408,55.57154162112835,32.99713840379944,186.23649013561425,413.31931733870965,366.0500671816996,12.38458836575945,0.26931378,132.3706,-15.2588,123.63792,88.9531,91.78119,-3.3538618017403294,108.21732519904899,118.90065167649111,-17.53525,94.0712,72.23805,63.42811,-6.339401,54.63095
2010-06-15,-37.21267033160684,120.43128911072449,83.21861877911766,57.66381844766191,22.5151531875,0.057499302631944436,49.035239846614594,0.6,101.58316236111112,54.584855302154025,38.1133130389549,223.11112869036887,354.78684340277783,381.4228340045945,14.144887251272754,0.255592,132.3706,-15.2588,129.0869,57.4892,75.38536,-8.42484934599642,97.81272704967571,89.38592928481157,-22.527456,80.16735,54.752598,55.32149,-7.1173882,47.982628
2010-07-15,-23.111152828349795,103.62883927448277,80.51768644613298,47.53915854392382,24.928345329301077,0.041759124811827954,51.4378737274707,20.299999999999997,99.95562350705644,43.54916345705327,48.35091160981546,210.08443246084008,385.69193864247313,389.9841046334311,15.63800264937991,0.21410628,132.3706,-15.2588,100.53371,54.8254,60.334553,21.600410533615722,45.35364045800068,78.89040178557516,-11.933724,71.00973,56.2856,44.379078,-0.5359714,42.11217
2010-08-15,-13.361775728008693,84.93975500445222,71.57797927644353,37.45277564674771,25.915873575268815,0.038359585510752685,36.21991528513155,0.0,116.03164747710449,34.309337786312796,65.06045367947347,253.6484095784812,373.4727658602151,390.74385920578146,21.81147363127889,0.16443016,132.3706,-15.2588,71.7852,49.4476,47.80586,29.74278242108074,19.166518314623886,54.01507075550602,-6.0568333,54.89852,49.289402,38.688984,1.3141493,38.77157
2010-09-15,5.948149660324138,68.29360882040064,74.24175848072477,32.87192347289243,30.698023671060124,0.040704525421678676,45.665953037739826,2.8000000000000003,136.20733595442996,31.11672508992627,85.03311422822689,268.4643512933563,421.2569182929386,388.77547078904723,24.725141817321543,0.13967066,132.3706,-15.2588,29.763262,61.2175,47.179108,25.918680639016195,21.68914591303003,48.84210803868211,1.0785465,57.109955,58.365253,30.478016,6.74195,39.2347
2010-10-15,19.88754377461749,59.361839672920304,79.2493834475378,50.12488114966675,30.153440396505374,0.06373510850134409,50.256790071236274,238.99999999999997,139.17918407868385,45.917864541824336,79.22812837167132,262.52658561627356,427.92808723118276,392.5683649245371,21.921461967554084,0.1351223,132.3706,-15.2588,25.52678,68.2549,56.342476,-1.1887354315826084,52.30758973342608,49.994271808055146,4.4474025,58.487854,64.84753,31.300034,6.537899,38.00743
2010-11-15,11.363083168536523,69.74225585559353,81.10533902413005,63.09673429595377,30.48442444444445,0.07178868949305556,49.190298036453555,29.55,155.80879133095246,59.727680273361166,68.35308362263932,282.0090567399722,425.89190777777776,393.77528153481643,22.832593491912966,0.1341378,132.3706,-15.2588,18.541565,66.862404,56.83313,-38.06820595618335,106.46324018033354,65.89699188979606,1.8861997,59.58581,64.61541,35.629074,5.3650656,40.94487
2010-12-15,7.576154350033639,100.22630991734067,107.80246426737429,87.98252621813117,29.48377454595112,0.11469080526945027,70.61489262838452,94.2,146.71523174948246,80.59809077389734,42.94267577584748,232.60188979960031,445.7558404236369,391.4318929029577,12.446964310824459,0.16673054,132.3706,-15.2588,57.968075,110.8458,118.75455,-36.90351999698436,179.71155906864342,117.50891611853504,-12.846341,93.69157,83.690445,69.476265,-6.6887865,59.89249
2011-01-15,-11.861115632999999,137.1836751822,125.3225595492,104.8952497962178,28.08455212378072,0.15486563619496257,78.82214060510664,213.2,156.10509938817196,96.09131754032258,36.842650067204296,222.45248378440812,447.9497742437253,387.88719059731795,8.253420482732508,0.2620662,132.3706,-15.2588,124.80511,156.8024,122.251755,-31.715111050816915,200.53633519184658,157.37825703432006,-26.92578,129.20149,100.28742,89.42515,-12.46683,72.43388
2011-02-15,-18.968114988614772,129.2450979171142,110.27698292849945,101.97693882888518,26.656910862206264,0.15962625985259557,81.66980798852543,231.39999999999998,136.79626514231308,103.42700773419011,25.79905655118186,218.42815122261595,449.233296708819,388.15898117865817,6.556189108395078,0.28676137,132.3706,-15.2588,104.50701,149.0279,101.85976,-16.341196177508287,185.38293128323866,167.67764056483566,-31.42135,130.97198,97.922844,95.05441,-12.148608,78.756355
