time,NEE_SOLO_EC,GPP_SOLO_EC,ER_SOLO_EC,ET_EC,Ta_EC,Sws_EC,RH_EC,Precip_EC,Fn_EC,Fe_EC,Fh_EC,Fsd_EC,Fld_EC,CO2_EC,VPD_EC,kNDVI_RS,x_coord,y_coord,MODIS_GPP,GOSIF_GPP,DIFFUSE_GPP,CABLE_BIOS_NEE,CABLE_BIOS_GPP,CABLE_BIOS_ER,This_Study_NEE,This_Study_GPP,This_Study_ER,FLUXCOM_RS_GPP,FLUXCOM_RS_NEE,FLUXCOM_RS_ER
2013-02-15,7.172328253584455,26.74595299896386,33.91828125254831,21.100470872103646,25.246013155505953,0.027508343850942463,42.80604305648041,57.0,152.5695701903326,21.40051063648872,116.06746792844172,287.0410875297842,372.7625664434524,354.4663600529425,18.77818853125373,0.093859136,140.5875,-34.0027,43.241882,33.637,49.696457,8.710868956646136,2.9663376590532637,11.548208538670966,-1.4536933,34.801086,34.61922,31.356655,-1.2237098,30.54462
2013-03-15,-1.1503269142533252,46.5137237933515,45.363396879098175,30.013138761183743,22.77277066263441,0.04247990990815412,44.54369980078768,2.2,115.9921609117211,27.49411486874269,77.37565290434628,234.13983598629034,363.47675255376345,379.61489240414085,15.639469457448216,0.11575515,140.5875,-34.0027,51.07853,37.748,46.59359,5.958092258778051,5.238398449947096,11.74980238831699,-9.861256,41.11866,33.144325,31.603275,-2.9290419,28.496918
2013-04-15,-12.742961393090269,44.03499607185162,31.29203467876135,21.49115527881273,17.694743825694445,0.03082626444812077,53.182369278172274,13.600000000000001,73.31854353593121,20.343633716086,53.260054089597766,173.11681712774444,339.47766375,381.5508590643509,9.584773915048796,0.14154257,140.5875,-34.0027,35.25984,36.583702,41.27522,4.275841896859826,5.04305134785155,8.892563014507703,-13.481822,39.636215,28.59829,33.650333,-4.0398674,27.79079
2013-05-15,-9.432377271763311,38.60278841321687,29.170411141453556,22.120420510576597,14.188424084018633,0.03571362944940724,64.21625873326877,35.6,41.28544571379525,20.26383802447384,24.192744604866654,115.61375439473346,331.7943728632892,389.3506773358032,5.833661388231393,0.16885017,140.5875,-34.0027,41.74465,39.644,44.83404,-4.917306829272824,14.587278623089544,10.028021985082678,-12.320811,42.812283,29.968304,30.390759,-4.673205,26.589502
2013-06-15,-7.039827918610722,36.79898225278995,29.759154334179225,21.93630197134911,10.512043463911894,0.05018671524122638,77.3130574860783,31.800000000000004,30.307545035290975,20.76501177349621,15.819640684258694,94.21072542814028,319.1358399305555,388.9076662699464,2.8952715096243637,0.17916137,140.5875,-34.0027,36.56896,34.7592,27.511768,-15.464168721121057,27.885778361507267,12.053141617528196,-8.8610325,44.263783,35.396656,29.495518,-7.251444,25.550714
2013-07-15,-15.633452242215563,40.55092081317555,24.917468570959983,23.66281313510474,11.192048898058083,0.04230525758064516,70.57222580281046,24.4,34.29115449706653,21.67677654879517,17.62294916930019,108.6318592608199,313.9907109543011,386.4930445830698,3.9314052205876093,0.17837004,140.5875,-34.0027,41.16448,36.5038,30.714647,-17.793136090937132,30.277588119874384,12.483109844935719,-13.011846,42.605778,29.395218,31.500557,-7.678736,25.275717
2013-08-15,-19.039165735473105,42.42675535680378,23.387589621330676,23.032526160083002,13.167094452284948,0.03239722197132616,59.75383716551571,10.6,58.40228807336313,21.099390003875317,37.04790006658116,148.80419587851583,316.77633571708407,384.2318982453639,6.133541404999081,0.15307635,140.5875,-34.0027,53.060886,37.7597,32.76607,-16.150456225193185,27.65455156343934,11.804204352872043,-14.45731,40.437737,26.744158,32.270363,-6.7160316,25.971348
2013-09-15,-7.374262612352384,37.99442233044074,30.620159718088356,24.816815096800795,17.925497073129847,0.03501076068055555,49.31649739346422,27.8,91.5469713143202,23.491719722804948,64.38357313640451,202.26297838572663,332.959309086579,386.213578065045,10.530893780458262,0.12144665,140.5875,-34.0027,45.202377,34.1642,36.201077,-9.572198987244782,20.963199476581995,11.850694217414885,-8.866611,38.99984,30.887863,29.746653,-4.562631,25.535822
2013-10-15,-13.65054840842127,44.765263363305095,31.114714954883823,25.19409018382889,17.760334760080646,0.03543217174731183,43.072233315306434,7.6,138.17011751357526,23.07953243542509,99.85603490579759,270.14363779442203,326.27501350806455,382.5745375581863,11.703728691172557,0.09091337,140.5875,-34.0027,46.723896,36.289,33.29132,-7.574193753096143,18.30903149555334,10.474785093908535,-9.489242,38.432877,29.746782,27.14066,-4.705778,22.809175
2013-11-15,-12.429602492615427,40.9385427797143,28.508940287098877,18.790839566124564,19.528301520833335,0.028201663409722223,41.148452656399634,3.6,165.81016760379165,17.787501527562977,127.48091630376253,313.4267800813889,332.112293125,373.62451679099064,13.542931768893714,0.087921716,140.5875,-34.0027,61.83445,33.8484,35.49372,-0.39711329649354066,8.51876765131239,8.36213232046523,-14.615591,41.535408,29.856443,26.825508,-1.600556,24.320965
