time,NEE_SOLO_EC,GPP_SOLO_EC,ER_SOLO_EC,ET_EC,Ta_EC,Sws_EC,RH_EC,Precip_EC,Fn_EC,Fe_EC,Fh_EC,Fsd_EC,Fld_EC,CO2_EC,VPD_EC,LAI_RS,EVI_RS,LST_RS,FPAR_RS,tree_cover_RS,nontree_cover_RS,nonveg_cover_RS,LST-Tair_RS,AI_RS,TWI_RS,NDWI_RS,Months_since_burn_RS,PFT_RS,solar_RS,Ta_RS,VPD_RS,precip_RS,precip_cml_3_RS,precip_cml_6_RS,x_coord,y_coord
2008-01-15 00:30:00,-110.77425498678035,302.7530534015041,124.50472121874816,124.50472121874816,27.132234762501373,0.1560155923316348,79.82469683363372,324.79999999999995,153.77570293219918,114.054952203674,26.334422913975942,253.79333205483462,422.3593375113907,370.86896919144664,7.425947154735332,0.5240996,0.19693412,318.70544,23.787022,3.6230166,66.76385,31.196938,13.546591,0.23174422807654868,13.054486,-0.09307197,,30.0,293.5185,31.974192,22.757044,70.68266,186.11957,203.80182,133.3502,-17.1507
2008-02-15 00:30:00,-62.353792085487825,271.29751802822227,91.24651599504575,91.24651599504575,25.807954914385448,0.1892680095551958,86.92263714879493,536.9,95.46337716008703,89.35283031826481,17.70974972672144,190.4027336231905,431.99562750665484,381.49098891453485,4.442981023236663,0.9634607,0.36398393,314.565,40.072594,3.6230166,66.76385,31.196938,11.856668,0.23174422807654868,13.054486,-0.0414593,,30.0,255.34802,29.614828,15.570219,197.96317,352.43805,400.3847,133.3502,-17.1507
2008-03-15 00:30:00,-134.73973777300927,319.5527235171344,127.73949895547234,127.73949895547234,26.15738987903226,0.15352389148521503,79.80995370271378,283.70000000000005,142.6348515813172,117.01823276476517,14.985042605944717,265.8147073466667,412.7995604166667,430.1266883804409,7.006452290977438,1.3408692,0.363416,310.39874,51.376427,3.6230166,66.76385,31.196938,8.144823,0.23174422807654868,13.054486,-0.045724925,,30.0,283.16156,28.990644,17.234917,38.732975,307.37878,435.87146,133.3502,-17.1507
2008-04-15 00:30:00,-100.25089149684655,179.31325674899907,99.49405318300452,99.49405318300452,23.424252616392792,0.07636430415225227,61.65303070901628,39.8,144.12314579000684,94.18156207168978,27.840635970463346,280.87265483942565,360.2377972177787,422.4380201575904,11.259077463945415,0.72086304,0.24165331,313.96637,36.77796,3.6230166,66.76385,31.196938,14.995155,0.23174422807654868,13.054486,-0.09709366,,30.0,276.9136,25.417503,20.859379,5.5940933,242.29022,428.4098,133.3502,-17.1507
2008-05-15 00:30:00,-0.7371537751867936,54.604578852449045,34.485480809605946,34.485480809605946,21.59008274395161,0.05916719040322581,52.952074816550265,0.0,115.6808855856183,31.59109009649386,70.19121910116728,249.4049072830578,342.12027782258065,385.72779004286923,12.326604711494063,0.40555122,0.18004033,312.31763,25.40233,3.6230166,66.76385,31.196938,16.287054,0.23174422807654868,13.054486,-0.119549915,,30.0,241.81976,22.248224,17.890903,2.4255626,46.752632,399.19067,133.3502,-17.1507
2008-06-15 00:30:00,6.955298478375507,41.53692438313272,15.587148566221577,15.587148566221577,21.434443465628643,0.056196713725276876,52.325465752069434,0.0,103.22609300200537,14.75487180635851,76.17284958157235,230.0272541652976,349.0815205763306,346.1622230319312,12.36982029633405,0.35253054,0.1642167,309.32,22.41378,3.6230166,66.76385,31.196938,14.545841,0.23174422807654868,13.054486,-0.120076194,,30.0,214.89966,21.160336,15.374235,2.9367256,10.956382,318.33517,133.3502,-17.1507
2008-07-15 00:30:00,14.150764913251226,27.00554151792857,9.0077926352991,9.0077926352991,19.884707320564516,0.05486551893145161,44.25249194653376,0.2,95.53815722475807,8.251762249839409,74.49689577763097,246.23385913306453,327.4665695564516,381.17003219869326,13.121319165325264,0.33708706,0.15728858,309.78067,19.693954,3.6230166,66.76385,31.196938,16.275267,0.23174422807654868,13.054486,-0.123091735,,30.0,234.77074,19.847261,16.7941,2.5964563,7.958745,250.24896,133.3502,-17.1507
2008-08-15 00:30:00,19.757416831292876,28.958298849366017,9.165787805777057,9.165787805777057,22.45756267405914,0.0525292082123656,38.782657934338765,0.0,105.83987212153126,8.3964967742886,79.47355348076506,262.79453578223115,345.9359377016129,378.1611334683557,16.92974890764976,0.32564703,0.15684502,313.02078,18.633049,3.6230166,66.76385,31.196938,17.410229,0.23174422807654868,13.054486,-0.1216522,,30.0,260.32706,21.54903,19.223297,1.2609773,6.7941594,53.54679,133.3502,-17.1507
2008-09-15 00:30:00,28.684614838244396,26.89910215691171,9.822374690499812,9.822374690499812,27.335346319444447,0.04917607114583333,50.83053576981626,11.0,122.97233246622571,9.297908387581149,92.59396918696721,277.15057873625,383.4987543055555,370.82688497631,18.320365634853328,0.33915916,0.15767092,319.69998,18.67614,3.6230166,66.76385,31.196938,18.870487,0.23174422807654868,13.054486,-0.12744407,,30.0,274.92285,27.291836,24.164299,3.9663954,7.8238287,18.780212,133.3502,-17.1507
2008-10-15 00:30:00,45.405947845020144,24.77654608860668,12.418926857473393,12.418926857473393,29.77246274602091,0.04826006526298465,50.84500263972631,51.0,119.58982874615644,11.376597572243396,89.7044400906344,284.0992617344282,402.4767460984993,377.13015578423847,21.180088537037065,0.33794266,0.15621501,323.4337,17.561096,3.6230166,66.76385,31.196938,19.199963,0.23174422807654868,13.054486,-0.123425424,,30.0,302.8786,30.030323,30.777622,6.5975466,11.824919,19.783665,133.3502,-17.1507
