time,NEE_SOLO_EC,GPP_SOLO_EC,ER_SOLO_EC,Ta_EC,Sws_EC,RH_EC,Precip_EC,Fe_EC,Fh_EC,Fsd_EC,Fn_EC,Fld_EC,VPD_EC,lai_RS,LST_RS,Fpar_RS,soil_moisture_RS,LST-Tair_RS,spei_gamma_06_RS,solar_exposure_month_RS,temp_avg_month_RS,VPD_RS,rain_month_RS,rain_month_L1_RS,rain_month_L2_RS,rain_month_L3_RS
2005-09-15 00:30:00,-57.15629313274407,162.92626176670552,105.76996863396147,7.543863277777778,0.38281668886154513,86.44439337174923,59.400000000000006,59.006228019471514,20.045634592050252,112.96146308263887,47.0466043471654,351.308795625,1.4129991412081608,4.675,285.5775,58.95340674798619,,5.0933037,-0.9449603,149.13965,9.2733345,3.005351,75.4,,,
2005-10-15 00:30:00,-98.41576499371595,220.52383243414562,122.10806744042965,10.538684255376344,0.3784805591211524,78.06207793844202,80.33504614493634,77.57690612274213,43.274755275121,170.43674289966265,86.18388024171853,366.8812821791276,2.804718894246299,2.8333333,286.60907,63.557087590316705,,4.5319033,-0.40140343,224.68263,12.420001,4.796054,90.8,75.4,,
2005-11-15 00:30:00,-112.43119334569397,255.03841028157404,142.60721693588007,12.800341645833333,0.36721070914509557,78.03861072823887,71.9310759024045,104.10533995044563,71.32250788826465,201.3425700916667,113.9453887891888,379.28109346205747,3.2665206178439794,3.8249998,290.41232,83.71853417701504,,6.321,-0.06568575,268.62268,14.849166,5.9053726,80.49999,90.8,75.4,
2005-12-15 00:30:00,-80.97149497254615,244.85965763395023,163.88816266140407,15.569537672536102,0.33388638410631083,67.6150527739783,43.24614168932319,117.40716917876625,57.20632778374093,234.75722624988194,116.71710633897781,387.2048127086658,5.778941241899525,4.775,295.95538,81.98099643234683,,9.260466,-0.109987736,302.2401,17.12903,9.901312,73.0,80.49999,90.8,75.4
2006-01-15 00:30:00,-31.016127171599997,221.25548484900003,190.2393576774,16.935754704301075,0.30023105712325504,77.9088440860215,64.68773925354219,88.43435947580645,57.58568622311827,237.80760501872948,99.0073386491424,397.586577425403,4.307069622733513,4.15,299.07,81.8364057429189,,10.027744,0.055077296,297.73746,19.643063,9.50356,90.19999,73.0,80.49999,90.8
2006-02-15 00:30:00,-43.66199655753597,183.64624782616866,139.9842512686327,14.304802791055014,0.28594110036821485,80.20587051638323,68.89427057154208,69.87391772769004,64.13974714203282,215.25762472916176,101.96799738734643,391.3392442418626,3.251724799544261,3.9750001,293.3274,86.6695134478029,,8.028143,-0.29399118,270.07687,17.269464,8.216317,43.3,90.19999,73.0,80.49999
2006-03-15 00:30:00,-94.20317775036365,230.95162283915636,136.74844508879272,16.4937191562605,0.2780010673538112,61.39965002224856,25.825874535958462,65.11343303573952,44.057059010535816,183.7548797170699,82.44396574277475,397.0474462475857,7.313938840489744,4.65,296.33176,85.66342268002276,,9.664576,-0.40090021,224.4213,17.380804,8.236546,31.500002,43.3,90.19999,73.0
2006-04-15 00:30:00,-89.03147573555285,152.014063705586,62.98258797003315,10.030173215949016,0.28850821054792086,64.7278189838134,68.26833134607628,60.70211664602884,3.713153327472815,94.5419547972222,31.206611713440886,357.47183177408004,4.357148778110902,5.1,286.7375,77.63852504570801,,4.912176,-0.33384272,109.97764,10.914667,4.4234295,88.700005,31.500002,43.3,90.19999
2006-05-15 00:30:00,-110.67713544541795,133.58223254529398,22.905097099876027,6.795763562577056,0.327844581763929,89.23236611940843,66.39999999999999,56.032196568647066,-2.607178698975361,63.31414036882486,9.12368725866617,350.4046212131769,1.065852520201082,3.0749998,283.46573,63.20130603638915,,2.403099,-0.21668695,75.51149,8.621773,2.4597616,84.799995,88.700005,31.500002,43.3
2006-06-15 00:30:00,-89.08753763861137,95.69268176786065,6.605144129249278,5.202348349278299,0.330432583745366,85.0071835000872,17.799999999999997,35.05253920540185,-9.825271141344631,56.535786167278005,-10.568144642339522,342.7757468138485,1.3281544621593828,2.15,280.668,37.64284145693651,,3.0229592,-0.5306728,69.31326,5.8333335,2.1901264,29.5,84.799995,88.700005,31.500002
