time,NEE_SOLO_EC,GPP_SOLO_EC,ER_SOLO_EC,Ta_EC,Sws_EC,RH_EC,Precip_EC,Fe_EC,Fh_EC,Fsd_EC,Fn_EC,Fld_EC,VPD_EC,lai_RS,LST_RS,Fpar_RS,soil_moisture_RS,LST-Tair_RS,spei_RS,solar_RS,Ta_RS,VPD_RS,precip_RS,precip_cml_RS,IGBP_class_RS
2011-01-15 00:30:00,22.18752209438839,58.86804753270455,81.05556962709294,23.412377076612902,0.2700875324260753,59.6511477911224,74.0,66.61126027877756,67.73108766066946,304.53547597602176,189.30687844617108,382.1300134408603,11.838171421678686,0.725,310.82095,30.386956237248494,,14.944635,2.271867,309.57657,22.876776,11.236055,74.882126,74.88212585449219,6.0
2011-02-15 00:30:00,-5.560957327299272,91.6117182661286,86.05076093882933,21.416600499999998,0.31445013058035715,67.64017987033107,147.79999999999998,84.90635296382372,33.59251305048248,246.74468795172695,158.12824850547486,379.7293948660714,8.386838037143221,1.0,307.81552,42.86798398868982,,10.646315,2.4674206,244.31216,21.470354,8.56591,96.770096,171.6522216796875,6.0
2011-03-15 00:30:00,-29.371257603052477,124.55105200197376,95.17979439892132,18.446752516801077,0.19115293393817204,68.60716559148798,58.0,61.55572192515221,28.896704885880563,217.09843921341164,117.75254361906482,347.57743776881716,6.7438508303225095,1.125,303.26633,51.46576533075097,,10.6126175,2.5840812,213.00403,18.732903,7.4317636,44.659092,216.3113136291504,6.0
2011-04-15 00:30:00,-6.13407519717906,92.1979949908003,86.06391979362124,14.322456295833334,0.21174779472222222,73.49766594860915,51.199999999999996,35.98038361538958,26.329348901044757,163.04905130191474,79.78262092106974,328.9773298611111,4.358782165184428,0.79999995,298.45764,45.23943792383011,,10.463047,2.688997,159.76466,14.392666,4.195464,42.320427,183.74961471557617,6.0
2011-05-15 00:30:00,-2.302085613964015,82.33095613083111,80.0288705168671,10.495344774375331,0.21308820638440856,77.40376254978523,43.6,22.58993454570105,10.924440466606587,101.22101019484512,37.59911534144799,317.5230175403226,2.8804486751016447,0.775,290.42834,55.91840631317722,,6.1473417,2.4197896,95.30317,10.734677,2.9945383,35.42275,122.40226745605469,6.0
2011-06-15 00:30:00,7.430529896791156,76.46710734151475,83.89763723830589,9.392497698260687,0.31129985805555555,80.0536241574113,24.0,20.449504265227713,7.077226699214425,94.59146219031102,32.37642695432227,310.1930892361111,2.359628429835251,0.925,289.1764,57.024890739809926,,6.5064526,1.2212107,85.44754,9.045,2.332057,44.62607,122.36924362182617,6.0
2011-07-15 00:30:00,-6.106663602799059,86.12102507575335,80.0143614729543,9.079057473493497,0.421286594871607,78.72801723398099,50.6,24.7645687002978,1.2273004748030896,93.0828057036841,31.78723896242794,311.06577123655916,2.463316836631698,1.175,287.944,63.17111623596146,,5.9891167,0.6680908,83.28106,8.611774,2.390727,63.644493,143.69330978393555,6.0
2011-08-15 00:30:00,-14.431238552968539,96.96613494417986,82.5348963912113,10.66038855514785,0.44605169096755387,77.114477548812,62.6,33.96848082593851,8.209271826581615,133.811670460903,60.14597482445474,315.0234946339474,2.949976274550855,1.375,291.73062,71.75040128716725,,7.905841,-0.19758433,127.57989,10.409192,2.8610067,79.04933,187.31989288330078,6.0
2011-09-15 00:30:00,-51.41881081282618,118.99697721334172,67.57816640051553,11.795255182082006,0.2839625779271097,73.1750219747017,53.19999999999999,50.41327904813366,19.41417247913345,192.5281134154478,94.22329524554573,315.23551849936774,3.7314918391553937,1.625,294.38104,69.95433886987959,,9.885164,-0.35037774,174.16669,11.924833,4.263708,61.049118,203.7429428100586,6.0
2011-10-15 00:30:00,-69.64767250962105,135.9427511468997,66.29507863727864,14.81445500984817,0.23088114360707093,70.75022920968135,9.374539732026781,63.16436212497706,33.83064434255612,239.50680947664534,138.62661754912506,341.72840700821496,4.968389918913262,1.6999999,299.36002,63.30943280866068,,10.815631,-0.57036895,228.52069,15.109357,5.6487513,33.610844,173.70929336547852,6.0
2011-11-15 00:30:00,34.77879172463333,33.36282384590649,68.14161557053983,19.28647072380774,0.1558210460187839,58.127123473420205,52.98905284658588,51.306064491623935,62.03092520861597,259.597778625925,145.02373931845597,358.31425088450754,9.48912811319464,0.8999999,307.32285,34.171103542758296,,15.029022,-0.36832416,252.68521,19.278168,8.499762,67.36531,162.02527236938477,6.0
2011-12-15 00:30:00,38.723590301548725,22.127071421220602,60.85066172276933,20.482131562499998,0.15255703891129033,46.20295636767475,46.0674775258222,36.530658957636795,99.71554294389013,337.34392604973584,190.38759811434863,350.3943552419355,13.148604624615485,0.5,310.123,23.72306816158776,,17.634249,-0.046419375,334.83054,20.240965,11.053805,49.084827,150.06098175048828,6.0
2012-01-15 00:30:00,31.099467478148647,20.6595707759355,51.759038254084146,23.406094039251396,0.11352187774193548,44.70815531614897,55.79999899999999,36.62172987562428,98.28671209216279,330.3533545475322,177.58194617532115,363.898441733871,16.216088007709143,0.45,319.00842,22.128839184284626,,20.722393,0.136319,324.9291,22.933064,13.937477,53.528362,169.97850036621094,6.0
2012-02-15 00:30:00,34.09361807863043,16.697062373549308,50.79068045217974,21.76376987182639,0.1285452021854961,52.45536617991958,8.0,32.82752219505551,70.96734312897902,242.0131527031996,120.10175550601441,365.22849399160094,12.592598171344767,0.4,316.2558,21.877460097406193,,20.48547,0.31990078,255.00081,22.008793,11.124785,63.398117,166.0113067626953,6.0
