time,NEE_SOLO_EC,GPP_SOLO_EC,ER_SOLO_EC,Ta_EC,Sws_EC,RH_EC,Precip_EC,Fe_EC,Fh_EC,Fsd_EC,Fn_EC,Fld_EC,VPD_EC,lai_RS,LST_RS,Fpar_RS,soil_moisture_RS,LST-Tair_RS,spei_gamma_06_RS,solar_exposure_month_RS,temp_avg_month_RS,VPD_RS,rain_month_RS,rain_month_L1_RS,rain_month_L2_RS,rain_month_L3_RS
2012-01-15 00:30:00,-19.501701992690847,123.098148929916,103.59644693722514,22.58535510483871,0.14489454141969085,50.3841729661247,57.56645765022972,58.28883778731103,123.63984518439352,319.3507964897817,198.68829445778266,355.7813582661291,13.830649068754369,1.225,313.89175,38.4187946767351,,17.958757,-0.1345982,326.08276,22.654036,14.025273,42.800003,,,
2012-02-15 00:30:00,-3.3737053194387148,107.05037092499384,103.67666560555514,21.607265416666667,0.18357496788074715,58.97373700907708,83.22618993147046,59.02177522601156,80.48732549538495,258.1244290786049,154.3532222742443,356.9284691091954,10.76046995836712,0.90000004,310.388,39.79661202347315,,15.77392,0.09843206,256.09033,21.627417,10.937487,82.1,42.800003,,
2012-03-15 00:30:00,-8.38570588704756,119.48737303005056,111.101667143003,18.16221482997312,0.25663703555107525,65.76771533937058,125.82870624155662,63.211303038518686,47.23726900187999,213.16302411045558,120.46318598510463,340.4704004704301,7.221313293810864,1.05,301.27332,46.07006463808079,,9.855057,0.9455353,202.30733,17.77742,6.399766,124.299995,82.1,42.800003,
2012-04-15 00:30:00,-12.165673963791583,108.03608136394186,95.87040740015027,15.897759627083332,0.15233985615625,66.81377472396345,38.4,40.135213936760735,35.245609891971384,162.14637784131946,74.29263173543055,324.29265944444444,6.049722190154313,1.0250001,298.44824,49.55913729888492,,10.17496,1.2567706,159.06636,14.849668,4.2356205,23.1,124.299995,82.1,42.800003
2012-05-15 00:30:00,-19.294681609275074,88.29846071420037,69.00377910492531,11.467950884744623,0.146429896656586,72.4716301906646,19.4,25.539040604027004,15.360212372457632,108.37690506048388,35.29647828987903,308.6000125,3.746352258674312,0.9666667,290.75333,45.62795136235328,,6.986108,1.2511637,105.18967,10.386451,2.6992712,24.600002,23.1,124.299995,82.1
2012-06-15 00:30:00,-13.297447874631303,72.80572591904823,59.50827804441694,9.547722092777779,0.16391138725694446,79.13581382442825,35.2,22.826230548841675,3.7206233159312116,79.03359224590764,17.371417273050696,306.2383804166667,2.4943816068518263,1.1,286.83002,53.44876978582201,,5.079541,1.3338883,72.87808,8.299335,2.0368338,38.3,24.600002,23.1,124.299995
2012-07-15 00:30:00,-9.530363269101048,66.69054921243522,57.16018594333417,9.317094791289254,0.20988425096277777,81.46275152299371,45.4,31.152499714816944,5.8482416181688635,85.50908841747051,29.767451344541374,311.97436623587186,2.1817117758582163,1.25,285.3257,49.58670580897802,,3.3274784,1.4698137,77.97939,8.272741,1.823782,46.899998,38.3,24.600002,23.1
2012-08-15 00:30:00,-40.09649263949748,93.35398401411521,53.25749137461772,9.424770045026882,0.20534272706653223,75.45863082507312,35.6,38.3886310252638,16.252195677388265,119.95736761838843,54.88405901011559,308.2647858198925,2.9095874970712563,1.1,288.04922,52.86498407462791,,6.0399065,0.78638065,116.42025,8.595805,2.3774996,36.100006,46.899998,38.3,24.600002
2012-09-15 00:30:00,-44.84601610853414,105.31212082850982,60.466104719975675,12.434891575555556,0.16599617416666665,65.95857916896136,9.2,39.70744823769333,43.47897488563099,173.54714533740903,90.89161931580351,312.67075083333333,4.941770395542375,0.75,294.29333,46.69059373500062,,9.509997,-0.9272285,169.06635,11.438001,3.6491613,16.2,36.100006,46.899998,38.3
2012-10-15 00:30:00,-54.3361124663859,128.48964272556879,74.15353025918287,14.996876521974881,0.15450297798151047,57.358366097161415,31.056617983523406,44.043849017470265,73.87467754316275,240.77756505582752,136.94511873697087,315.22083542635846,7.33010600185302,1.0,302.30942,44.65336586579657,,15.401466,-0.7130485,236.31647,13.809837,5.597288,28.9,16.2,36.100006,46.899998
2012-11-15 00:30:00,-32.79251304880244,118.02480677108741,85.23229372228495,19.08098099861111,0.1442678535590278,53.1147696161769,8.4491351262105,43.07969249889497,106.01058098768586,283.48147795799343,171.6324579779806,337.80797604166673,10.48722612916244,1.1999999,307.39157,33.03571709795001,,14.977285,-1.0503743,282.7315,18.925333,10.12868,7.7999997,28.9,16.2,36.100006
2012-12-15 00:30:00,-34.06120719281189,122.60104062044124,88.53983342762933,20.66360362768817,0.14217951203124998,49.41594704827623,15.546553109752441,51.12132427302775,122.25184467013678,315.9451050877991,193.84573237583294,342.8253921370968,12.505295625606292,1.225,312.4358,35.61359847265731,,17.90098,-1.0395795,316.81226,20.812094,12.72944,17.300001,7.7999997,28.9,16.2
2013-01-15 00:30:00,-34.23996474973198,120.59442145009388,86.35445670036188,22.791723198924732,0.1321207351814516,44.71264771502337,3.1999999999999966,40.62191521657392,138.9995449651734,341.46423398116997,205.10395351267067,347.901391061828,15.610151695830009,1.25,315.9256,36.931685192594976,,20.191357,-1.2944579,345.05673,23.028706,16.747286,1.8000001,17.300001,7.7999997,28.9
2013-02-15 00:30:00,-15.623901987668615,92.14157612065682,76.51767413298819,23.473619516369048,0.13358359667410713,49.324366698379606,77.47511576832295,35.64309622234002,110.07714357050529,280.3945615540241,164.57447789279678,363.3830401041667,14.924299132444931,1.0999999,313.61377,40.314367123629445,,17.062109,-0.94821537,287.38016,23.604822,15.030999,76.1,1.8000001,17.300001,7.7999997
