time,NEE_SOLO_EC,GPP_SOLO_EC,ER_SOLO_EC,ET_EC,Ta_EC,Sws_EC,RH_EC,Precip_EC,Fn_EC,Fe_EC,Fh_EC,Fsd_EC,Fld_EC,CO2_EC,VPD_EC,kNDVI_RS,kNDVI_anom_RS,fPAR_RS,LST_RS,tree_cover_RS,nontree_cover_RS,nonveg_cover_RS,LST-Tair_RS,TWI_RS,NDWI_RS,NDWI_anom_RS,rain_RS,rain_anom_RS,rain_cml3_anom_RS,rain_cml6_anom_RS,rain_cml12_anom_RS,srad_RS,srad_anom_RS,vpd_RS,tavg_RS,tavg_anom_RS,SOC_RS,CO2_RS,C4_percent_RS,elevation_RS,month_RS,VegH_RS,MI_RS,x_coord,y_coord
2013-11-15,49.70810710522151,357.8321157554857,105.36587934929874,105.36587934929874,24.990628104166667,0.18942607664943367,78.51854027777777,138.8,117.80372430938473,99.73986171737631,23.386096080628157,164.43963245425348,433.35476604166666,386.19413119682196,6.943838834620481,0.5972691,1.0087177,0.52731043,26.556671,67.670364,29.880865,3.2991798,0.16978455,8.102706,0.08205271,0.72219783,264.78418,1.8227322,1.4173708,1.0966672,0.79151464,20.09013,0.9260135,11.510019,26.386887,1.000703,4.4080176,394.085,43.35349,203.712,11.0,25.580616,0.67976695,145.446922,-16.103219
2013-12-15,96.26954643668125,355.82822504921666,152.44585287188477,152.44585287188477,25.32794353494624,0.20355402305107526,74.10127921370969,45.2,134.46403933356518,139.65096498150257,16.873888750441935,193.7204299132903,427.08471841397846,385.1353500906035,8.545757522167381,0.62474746,1.0480995,0.9037034,27.27591,67.670364,29.880865,3.2991798,0.90233994,8.102706,0.08493838,0.805507,120.33471,0.34640992,0.79875094,0.8820936,0.81583905,21.94854,0.98511904,13.821391,26.37357,0.9678589,4.4080176,393.929,43.35349,203.712,12.0,25.580616,0.1549029,145.446922,-16.103219
2014-01-15,134.3341503954,333.052193601,134.61918702314966,134.61918702314966,26.235582896505377,0.2421517787746416,78.53885412634409,258.6,110.87936943720295,123.32050376344087,4.123487298387097,155.08378605857192,441.4108652553764,387.00857549227345,7.482917717312062,0.556394,0.9227362,0.88105345,27.77002,71.946335,26.841589,1.856997,0.62098503,8.102706,0.10330976,1.1267926,653.29333,1.0195602,0.91072553,0.91116494,0.827736,19.843786,1.0540229,10.729715,27.149035,1.0028368,4.4080176,393.792,43.35349,203.712,1.0,25.580616,1.9563231,145.446922,-16.103219
2014-02-15,75.5887702734,253.36163049299998,118.00973866970982,118.00973866970982,25.51612326636905,0.37948148684157507,81.1609641220238,985.3999999999999,98.24481402688764,119.68778720238095,1.6393526785714299,133.40928437996303,441.1537133928571,387.60990113422355,6.287927794812404,0.6077037,0.97698134,0.540298,26.26001,71.946335,26.841589,1.856997,0.15920448,8.102706,0.118203096,1.2999654,996.69727,1.6266547,1.0847837,1.139116,1.0282941,18.791483,0.94626755,6.6500874,26.100805,0.96651536,4.4080176,393.824,43.35349,203.712,2.0,25.580616,3.7783098,145.446922,-16.103219
2014-03-15,94.258122633,268.437180591,118.25457080208673,118.25457080208673,24.95854206989247,0.3321323854502688,81.87930603494623,1283.2,86.11930664449288,108.3293813172043,-5.506238978494623,121.49753237864543,435.98669986559133,388.06801244821526,5.846010187754975,0.63197386,1.0173664,0.68499607,27.809998,71.946335,26.841589,1.856997,2.3173828,8.102706,0.12629505,1.0974813,1270.2958,1.4846275,1.3845989,1.2311088,1.1882565,16.505503,0.9593539,6.95359,25.492615,0.9777142,4.4080176,393.985,43.35349,203.712,3.0,25.580616,4.138118,145.446922,-16.103219
2014-04-15,101.7717925380643,242.86907354026965,109.8792889235012,109.8792889235012,24.86434304861111,0.3374831926736111,80.7600747638889,125.2,75.3145948380493,104.0122775087587,-9.210337212520521,109.06727331714583,434.84434722222227,388.39694117985215,6.171466541479567,0.66651696,1.042372,0.75025576,23.420013,71.946335,26.841589,1.856997,-1.6596317,8.102706,0.08646501,0.76921445,927.80566,1.8443787,1.6205686,1.3358004,1.270056,15.023896,0.92423403,6.7380543,25.079645,1.0103025,4.4080176,394.171,43.35349,203.712,4.0,25.580616,2.039075,145.446922,-16.103219
2014-05-15,17.991886134877735,234.30007318205304,106.50204525811424,106.50204525811424,23.008371901881716,0.29305623659834235,78.88014987903226,380.00000400000005,74.79565792829328,97.56325352647441,-23.395665602792988,115.17228700493575,418.68357735215056,387.8104162503818,6.043656321784481,0.63441586,0.9798418,0.79543597,23.830017,71.946335,26.841589,1.856997,0.6832142,8.102706,0.16699377,1.4332331,332.52917,1.4316856,1.5906495,1.3163568,1.2821125,13.634211,0.9503106,7.8421884,23.146803,1.0006974,4.4080176,394.362,43.35349,203.712,5.0,25.580616,0.67409784,145.446922,-16.103219
2014-06-15,-8.66372828776313,163.07014081754178,91.5317917484444,91.5317917484444,21.539192701388888,0.29657083119791666,78.46050622222222,329.4,58.712761395834704,86.64444607792562,-22.982207080663816,92.67159939879582,412.1105176388889,387.0932228697529,5.625448635102952,0.6469282,0.99512726,0.9437057,21.590027,71.946335,26.841589,1.856997,0.012825012,8.102706,0.083985165,0.7834035,280.6462,1.9624537,1.7544702,1.4933423,1.331763,12.276233,0.91500586,6.257405,21.577202,0.9908418,4.4080176,394.76,43.35349,203.712,6.0,25.580616,0.8033284,145.446922,-16.103219
2014-07-15,-30.744118137023744,225.31178514696182,85.57644699942219,85.57644699942219,20.86202573924731,0.1763950875224014,72.18245142473118,43.600001,74.99650045066522,78.3939554800561,-9.277018729667928,134.02957878386826,390.65528914336755,387.3251907643793,6.963289662030407,0.6650973,1.0297436,0.86881506,22.205017,71.946335,26.841589,1.856997,1.9179668,8.102706,0.08991788,0.894265,42.60625,0.35703897,1.325872,1.5614618,1.303948,14.4221735,1.0554061,8.30138,20.28705,0.9633334,4.4080176,395.297,43.35349,203.712,7.0,25.580616,0.053228006,145.446922,-16.103219
2014-08-15,-48.91476724962537,230.09425566325507,85.49668455736565,85.49668455736565,21.151746780913978,0.2081358556171595,74.45455421370967,149.0,93.61245910886184,78.3208875559858,-0.5436577406032126,145.71365463817875,399.9545071319294,386.6191141950208,6.511828230026785,0.6523936,0.99963963,0.9436016,23.406921,71.946335,26.841589,1.856997,2.045496,8.102706,0.08741073,0.8578397,102.20573,1.2119324,1.2272612,1.525633,1.315683,16.016073,0.9524212,8.781452,21.361425,0.99171984,4.4080176,395.764,43.35349,203.712,8.0,25.580616,0.087921605,145.446922,-16.103219
