time,NEE_SOLO_EC,GPP_SOLO_EC,ER_SOLO_EC,ET_EC,Ta_EC,Sws_EC,RH_EC,Precip_EC,Fn_EC,Fe_EC,Fh_EC,Fsd_EC,Fld_EC,CO2_EC,VPD_EC,kNDVI_RS,kNDVI_anom_RS,FPAR_RS,fPAR_RS,LST_RS,tree_cover_RS,nontree_cover_RS,nonveg_cover_RS,LST-Tair_RS,TWI_RS,NDWI_RS,NDWI_anom_RS,rain_RS,rain_anom_RS,rain_cml3_anom_RS,rain_cml6_anom_RS,rain_cml12_anom_RS,srad_RS,srad_anom_RS,vpd_RS,tavg_RS,tavg_anom_RS,SOC_RS,CO2_RS,C4_percent_RS,elevation_RS,month_RS,VegH_RS,MI_RS,x_coord,y_coord
2017-02-15,-19.10446834998776,144.3711648747704,118.4023083534139,118.4023083534139,26.120245104166667,0.1711168826822917,84.490993308052,377.999999,132.37944525419076,120.08593906082028,24.677334969033435,193.81386712805977,380.85556287202377,409.933202458339,5.369912452146679,0.3948771,0.89841384,39.799835,0.5344684,36.462006,15.796918,79.79503,5.6312346,9.37114,10.0,-0.067265734,1.9610665,413.4485,1.0064998,1.2148317,1.2115365,1.1287067,20.377245,1.0089986,9.380734,27.090866,0.9824971,1.8483394,401.305,89.09971,220.944,2.0,6.6514645,1.4236809,130.7945459,-13.17904178
2017-03-15,-20.830999813987507,159.44335464664078,125.43515176878378,125.43515176878378,26.384464717741935,0.17724593869959673,84.97106162623572,233.2,135.8745580217917,114.9072910617861,24.26829535727071,193.1290494086197,384.9546163978495,407.0880014703438,5.2876217776698455,0.4114246,0.94256395,52.912453,0.66359776,37.53,15.796918,79.79503,5.6312346,9.706804,10.0,-0.08896885,2.0652184,344.1396,1.3718959,1.1077312,1.1991051,1.2168422,18.9926,0.9173862,10.089867,27.823195,1.0013273,1.8483394,401.409,89.09971,220.944,3.0,6.6514645,1.6552172,130.7945459,-13.17904178
2017-04-15,-11.196938115135703,142.8021686800158,127.64682282875246,127.64682282875246,26.75059651388889,0.14196618070833333,67.92703545083458,68.8,135.7940395065226,120.83111284437771,18.850605349258643,206.88780153603892,371.4905039583333,400.18772419966973,11.53665846033708,0.39472705,0.9918545,56.540855,0.6147454,31.902496,15.796918,79.79503,5.6312346,4.993593,10.0,-0.10469277,1.4629854,67.892395,0.7885373,1.1039861,1.1826673,1.2402221,21.027597,0.95041406,16.893412,26.908903,0.98576087,1.8483394,401.665,89.09971,220.944,4.0,6.6514645,0.5618523,130.7945459,-13.17904178
2017-05-15,-24.04903194078595,125.99110572655638,101.95837772997272,101.95837772997272,26.441659616935485,0.062155278175403235,52.99977026331775,0.0,119.55830171373736,93.40093921679403,24.901778333746,213.63594061505242,346.7941475806452,398.8737460091261,16.593371837341035,0.30869278,0.930692,49.18671,0.5143207,34.5195,15.796918,79.79503,5.6312346,8.971346,10.0,-0.11593065,1.1203612,0.72669286,0.031208782,1.1458081,1.1915482,1.1984661,20.95711,1.0313886,22.828285,25.548155,1.0083123,1.8483394,401.902,89.09971,220.944,5.0,6.6514645,0.0237055,130.7945459,-13.17904178
2017-06-15,-23.868044674078746,99.14955840136186,73.30237863287894,73.30237863287894,23.87263663194444,0.03398003890277778,47.38695788055189,0.0,106.53392871408752,69.38839360093819,29.505879587959427,208.44028181027775,328.59587090277785,396.0171444895624,15.880545131794465,0.2528847,0.89028794,46.46304,0.448571,34.35742,15.796918,79.79503,5.6312346,10.756273,10.0,-0.12732786,1.0245973,0.21856068,0.30963308,0.62528574,1.0648609,1.1984121,19.492744,0.9987372,22.915205,23.601149,1.0108664,1.8483394,402.207,89.09971,220.944,6.0,6.6514645,0.0044261976,130.7945459,-13.17904178
2017-07-15,-11.990001074254486,94.02563710657773,65.10775763048726,65.10775763048726,25.525593602150543,0.024699339862231183,55.79392922969835,0.0,110.70867873389871,59.64321763820324,48.446304041863236,209.11920657156588,341.3757127688172,397.8172423058158,14.763219436718972,0.24192671,1.0440834,44.83642,0.40943635,37.623016,15.796918,79.79503,5.6312346,12.584217,10.0,-0.14874251,1.0855105,1.1479788,0.6024729,0.08083164,1.0697372,1.1897836,19.901455,0.9868064,23.006493,25.0388,1.0770998,1.8483394,402.838,89.09971,220.944,7.0,6.6514645,0.008548942,130.7945459,-13.17904178
2017-08-15,-6.925948559814056,87.2124383907927,68.8658546889265,68.8658546889265,25.531866659214494,0.02533145803886383,52.59808393323603,0.0,126.40338011986542,63.08589496145089,65.21823494658933,242.02268758224233,330.6966490508744,406.13272921827723,15.836559495778186,0.21853462,1.1507992,42.06172,0.35959986,41.1156,15.796918,79.79503,5.6312346,16.130402,10.0,-0.17064776,1.1084981,0.4627393,0.23797254,0.4015255,1.136513,1.1897289,22.88227,1.0205911,26.074945,24.985199,1.0311372,1.8483394,403.397,89.09971,220.944,8.0,6.6514645,0.0066348673,130.7945459,-13.17904178
2017-09-15,-3.504404754063693,83.1198435582086,63.54008511401838,63.54008511401838,26.905845055555552,0.026208450965277776,61.95349051786084,2.4,139.6221750654591,60.1473583471279,75.62695892944527,246.2854594744736,352.7419761805555,401.8514797434327,13.8141143973046,0.2032857,1.2132145,39.473343,0.4248186,42.720642,15.796918,79.79503,5.6312346,15.3282585,10.0,-0.17654452,1.0897036,2.4057178,0.15485515,0.20719047,0.56268775,1.1517797,24.963074,1.040606,28.391115,27.392384,1.0013217,1.8483394,403.611,89.09971,220.944,9.0,6.6514645,0.020066364,130.7945459,-13.17904178
2017-10-15,18.246501747708123,82.14284080313683,85.87593553753075,85.87593553753075,27.747613113071978,0.055908296252742004,74.24537323546683,75.6,135.4683697644638,78.6683077340522,57.33451076556349,211.82722215872138,380.14562716017446,406.5174059487501,9.836566706094786,0.23283061,1.2181377,40.04647,0.4020992,39.932495,15.796918,79.79503,5.6312346,9.879017,10.0,-0.17227253,1.1358724,104.38657,1.6864275,1.351196,1.0387012,1.1722512,22.942642,0.9382402,23.458986,30.053478,1.0255572,1.8483394,403.738,89.09971,220.944,10.0,6.6514645,0.4806054,130.7945459,-13.17904178
2017-11-15,-17.795778113393126,136.5377313026667,106.75122717184567,106.75122717184567,27.22895784027778,0.09898828386805557,74.68842256289979,190.199999,156.79032313981665,101.05123880742305,40.27973322726518,225.5698288775208,380.8574141666667,410.23855719833193,9.3708516313191,0.30210847,1.0950378,41.101948,0.45881194,42.180023,15.796918,79.79503,5.6312346,13.315802,10.0,-0.13506666,1.2256969,164.32378,1.0915096,1.1892067,1.1737746,1.1868076,23.042902,0.98871267,18.749949,28.864222,0.9849975,1.8483394,403.846,89.09971,220.944,11.0,6.6514645,0.3728119,130.7945459,-13.17904178
