time,NEE_SOLO_EC,GPP_SOLO_EC,ER_SOLO_EC,Ta_EC,Sws_EC,RH_EC,Precip_EC,Fn_EC,Fe_EC,Fh_EC,Fsd_EC,Fld_EC,VPD_EC,lai_RS,LST_RS,EVI_RS,Fpar_RS,soil_moisture_RS,LST-Tair_RS,spei_RS,solar_RS,Ta_RS,VPD_RS,precip_RS,precip_cml_3_RS,precip_cml_6_RS,PFT_RS
2009-11-15 01:00:00,-103.77683738422553,268.31673245013314,164.53989506590761,16.489905555555556,0.21255509259259261,58.33624686595251,60.199999999999996,151.34982568785867,94.89717594864621,40.825628002785876,255.4634987453506,318.25749329359866,7.892440168247161,4.4500003,297.7,0.35144624861785567,73.02377056198888,,8.219021,-0.6110009,258.52237,16.330997,7.4389477,58.56489,219.63207626342773,504.68486404418945,10.0
2009-12-15 01:00:00,-89.48501232136803,270.3015880147105,180.8165756933425,15.688484311860007,0.22019623655913978,55.23419849642793,48.199999999999996,204.61213321975808,117.81282236717911,65.3657310764336,323.41924780026886,306.6351166157882,8.050339721659697,4.925,296.75882,0.3421074190543209,76.43472161687521,,7.492695,-0.60847354,324.1151,16.11613,8.200965,69.84334,200.6760597229004,479.82353591918945,10.0
2010-01-15 01:00:00,-71.47407481219294,282.6027526698959,211.12867785770294,18.354497647849463,0.22299103942652332,53.8207931655205,14.399999999999999,204.29674924556454,142.39069071968757,42.80422238090471,329.2702948584677,314.99005612137097,9.86200282413627,5.375,299.063,0.35183998613332773,85.7002877786893,,6.8807354,-0.9336157,332.38873,19.032259,10.156021,27.511696,155.91992568969727,412.16804122924805,10.0
2010-02-15 01:00:00,-20.891625023462396,222.22058558753685,201.32896056407444,16.404929315476192,0.24270039682539685,72.5683285301081,105.60000000000001,140.67381431830356,107.14055988386414,28.24906186776803,230.69138580357145,330.61573090282735,5.1679269972344155,4.1,296.2689,0.3995220296061078,81.13360812933578,,5.895504,-0.58481306,227.57521,17.223392,5.7957478,93.24822,190.60325622558594,410.2353324890137,10.0
2010-03-15 01:00:00,-51.895694988578114,251.15650770210542,199.26081271352726,14.44664125053034,0.25370564516129035,67.42165083668456,94.4,117.09771059879033,84.3266810154648,33.12818813382401,216.15113192741933,307.53967165510755,5.4019609235299555,4.5,293.0232,0.367297670439618,84.84063347793192,,5.3173933,-0.34420606,215.16954,14.555806,5.3335447,98.82055,219.5804672241211,420.2565269470215,10.0
2010-04-15 01:00:00,-52.42948733270301,212.09848645473062,159.6689991220276,10.596970544090405,0.26578059402823156,78.36321712826941,111.0,57.17954956389573,45.9700626354598,20.761143519276196,142.75015287795532,294.4223229597393,2.777113977919562,5.933333,287.19168,0.39179605603790113,74.24250221424944,,3.6221867,-0.36857066,139.28627,10.4195,2.7890434,57.40811,249.4768829345703,405.3968086242676,10.0
2010-05-15 01:00:00,-59.26515916067516,174.97778622428817,115.712627063613,6.663,0.2738588709677419,79.52975151659103,82.6,27.401364012903226,36.022748509665256,7.836243655074292,108.95342217459678,273.9109735541667,2.0077236946921326,6.025,282.33075,0.3852040083324881,85.6669332283695,,2.5041413,0.13008109,108.538666,6.6766143,2.327909,74.682686,230.91134643554688,421.5146026611328,10.0
2010-06-15 01:00:00,-29.753281436400002,115.0039638792,85.25068244279998,3.1533451388888882,0.29844305555555556,85.90416581226948,88.80000000000001,17.707342812916668,30.72661763888889,2.2724361111111104,84.28607826583334,270.71370951569446,1.080543765395995,5.925,279.60147,0.36973542374916996,61.48904301912226,,3.0453103,-0.025579004,83.37962,3.4061668,1.4866304,66.6003,198.69110107421875,418.27156829833984,10.0
2010-07-15 01:00:00,-45.266310676799996,118.2757660308,73.009455354,3.160956158737976,0.31946953405017925,84.46059658339385,112.0,20.29951573408239,29.2988247311828,14.326610349462367,98.78324406968912,262.38923930423806,1.191848261675811,3.1499999,279.05374,0.3702195799794183,76.41249585210763,,3.3487475,0.8776438,92.36484,2.555,1.3963289,124.15711,265.44010162353516,514.9169845581055,10.0
2010-08-15 01:00:00,-62.957237659947225,133.38245520726394,70.42521754731673,1.7132848005619328,0.33568257956644026,91.2203874872156,198.2,47.44579518138292,31.275093707296726,28.3751529798831,103.17363457196369,282.3370000921425,0.6071836574309409,4.125,278.8325,0.4507410466860235,70.0501510627575,,3.576205,1.0474567,95.69893,2.10629,1.0798993,139.69386,330.45127868652344,561.3626251220703,10.0
2010-09-15 01:00:00,-83.64936389848741,171.33369570465265,87.68433180616526,5.176400694444443,0.31539351851851855,81.61125723439946,172.20000000000002,102.90176947833334,50.140046082280506,43.94377964650505,182.05387995083333,278.5066208405148,1.6260269418158755,3.6,286.29074,0.31062163335847026,78.29614937063207,,7.0144134,0.86521566,172.62347,6.1263337,2.3574452,129.40614,393.25711822509766,591.9482192993164,10.0
2010-10-15 01:00:00,-94.54399480917161,225.3579114420271,130.81391663285547,8.858229166666666,0.2923965053763441,80.83492530189692,248.8,118.16269375241936,65.77601345621856,52.205859725858154,199.39169500766127,296.95042525174733,2.186156913807313,3.2666664,288.01166,0.34296241192102195,68.7408286362073,,5.740052,1.6870743,206.75403,9.121612,2.3847008,224.12073,493.2207336425781,758.6608352661133,10.0
2010-11-15 01:00:00,-65.99424819314905,231.36948921439955,165.3752410212505,11.95078472222222,0.28558333333333336,76.36364705030877,168.8,142.50755732708333,89.47548016814157,48.723975066666966,224.07528877583334,313.94190244597223,3.3222881562968714,3.6333332,290.63333,0.3478682339501642,59.7652865266713,,4.8551702,1.9209613,237.48457,12.628167,3.2119703,141.62105,495.1479187011719,825.5991973876953,10.0
