time,NEE_SOLO_EC,GPP_SOLO_EC,ER_SOLO_EC,Ta_EC,Sws_EC,RH_EC,Precip_EC,Fe_EC,Fh_EC,Fsd_EC,Fn_EC,Fld_EC,VPD_EC,lai_RS,LST_RS,Fpar_RS,soil_moisture_RS,LST-Tair_RS,spei_RS,solar_RS,Ta_RS,VPD_RS,precip_RS,precip_L1_RS,precip_L2_RS,precip_L3_RS,IGBP_class_RS
2010-08-15 00:30:00,-15.01421296035296,31.630503047905755,16.616290087552798,10.981663104818583,0.04136385151686416,59.68495056680494,24.2,28.501664180047293,25.821502430967527,138.68037926093365,58.420068101657264,312.7569963196148,5.310287407792894,0.3,292.10727,29.26205610103975,,7.7539654,1.0909637,138.08244,11.2093525,4.520109,27.708752,,,,5.0
2010-09-15 00:30:00,-10.824173298139682,33.24473261081276,22.420559312673074,12.994787276479185,0.04973870268663967,63.7873164629019,47.6,24.4187835611949,53.15315193567044,178.0941700375547,87.75570711837034,326.0604590614702,5.456184485759245,0.4,300.788,26.353353216819418,,15.540376,1.5843517,178.73456,12.909667,5.0909357,45.428524,27.708752,,,5.0
2010-10-15 00:30:00,-10.071029867599378,35.23925274583246,25.16822287823308,17.086002073252686,0.03899124246378907,55.37987840899394,66.6,32.812671938401806,74.08233295764366,242.1174925990136,123.60897271690399,334.06345643506484,8.784185201382122,0.46666667,311.32285,26.293342400627328,,21.14931,1.9957455,241.61436,16.699354,8.567592,55.70672,45.428524,27.708752,,5.0
2010-11-15 00:30:00,-7.040645526978769,37.14273270282618,30.10208717584741,19.847712256944444,0.03849707864329335,53.26728982498941,34.8,42.06811386756904,81.80838037731922,263.6596988179863,142.27905832051005,351.82772391221937,10.973803026462502,0.4333333,315.27,26.392182477992037,,21.246439,1.9136982,263.68826,19.667166,11.125191,31.596064,55.70672,45.428524,27.708752,5.0
2010-12-15 00:30:00,-7.5474418486151436,50.54413717669325,42.996695328078104,22.335757189516126,0.03764835408447129,47.781439260303785,85.80000000000001,52.984610223304074,100.99416293883112,323.6407812312299,179.23736312082661,356.2921530913979,14.332215976543923,0.6,318.49997,27.20628653451685,,22.699453,2.3487704,324.94397,22.223063,14.01894,67.9259,31.596064,55.70672,45.428524,5.0
2011-01-15 00:30:00,-8.937458009953486,64.9158270409878,55.978369031034326,25.345921760752688,0.035060686674099305,47.103911976799104,87.399999,51.45676218788376,97.74502114584585,320.15505469502693,176.29166488140459,375.9117614247312,17.47316315935887,0.57500005,320.88568,30.96426567022757,,22.923704,2.197781,321.24033,24.946291,17.251644,33.8844,67.9259,31.596064,55.70672,5.0
2011-02-15 00:30:00,-6.827393094934235,69.17025120841444,62.342858113480204,23.515568451636906,0.04068790995317181,59.25680330744748,109.0,68.41592962842896,59.80240572619981,256.7019188063571,144.4979460168445,378.2811073660714,12.030224090538344,0.85,315.50833,38.327526704880796,,17.54095,2.4861653,254.34438,23.692142,12.7778015,54.272587,33.8844,67.9259,31.596064,5.0
2011-03-15 00:30:00,-23.504673558272138,85.0299480399849,61.52527448171277,19.788227983198926,0.03870773107531537,62.959898299370884,63.4,44.34369488497151,55.690501835513324,209.75393265812502,109.34325461449528,359.78038252688174,8.66511729199651,0.775,308.57126,38.852942351192496,,15.382755,2.659108,205.99239,20.27081,9.704071,23.859877,54.272587,33.8844,67.9259,5.0
2011-04-15 00:30:00,-29.956138165616366,80.01926901225445,50.06313084663809,16.844691085416667,0.03424056874325631,59.78642797399071,4.4,30.78262300183647,44.32195410541345,188.4024563751875,81.43317631374306,331.88870125,7.794423203418762,0.7,304.24576,39.77210288868881,,13.816793,2.5207791,186.97919,17.197,8.235856,7.7965875,23.859877,54.272587,33.8844,5.0
2011-05-15 00:30:00,-24.247633985549744,65.51658539232534,41.2689514067756,12.417219372966622,0.034494887167795134,68.37726367400708,14.200000000000001,22.10036457423227,23.550110130442604,115.88017630971102,42.417235451377685,325.58049751344083,4.585254464236865,0.65,294.82727,43.17783594091644,,8.120839,2.801253,116.7264,13.110484,5.1024,16.25105,7.7965875,23.859877,54.272587,5.0
