time,NEE_SOLO_EC,GPP_SOLO_EC,ER_SOLO_EC,Ta_EC,Sws_EC,RH_EC,Precip_EC,Fn_EC,Fe_EC,Fh_EC,Fsd_EC,Fld_EC,VPD_EC,LAI_RS,EVI_RS,LST_RS,Fpar_RS,LST-Tair_RS,AI_RS,solar_RS,Ta_RS,VPD_RS,precip_RS,precip_cml_3_RS,PFT_RS
2010-01-15 00:30:00,42.88203139411094,239.24648230096648,282.1285136950774,26.435776081989246,0.28574629398915763,78.97232957586341,929.6,68.59256970519155,145.07701121584392,-14.86076293354992,129.44410944892473,443.50031432092254,7.421151272202038,0.8872893,,,16.799703966311995,,1.4903127622462518,176.695,27.232903,6.833147,763.79456,966.7793,10.0
2010-02-15 00:30:00,28.150253089938076,216.7493689340001,244.89962202393824,26.84280025297619,0.29039382255654944,79.51346284429818,698.6,88.30597584181606,108.49144305183084,3.954100871472577,120.25463604910713,444.2576011874903,7.410126222284842,1.3467497,,,24.238670948899074,,1.4903127622462518,232.61406,27.946608,8.199673,625.4425,1531.9409,10.0
2010-03-15 00:30:00,70.53950882112557,171.23845709801955,241.77796591914517,26.19916766129032,0.29992898745519714,78.0906741198981,1232.6,69.5525900388058,108.05165826974466,-28.511186649009424,145.91814485197045,437.2311490526753,7.622354626658387,1.0937319,,,18.362743838331042,,1.4903127622462518,187.68668,27.012259,7.3627987,648.20905,2037.446,10.0
2010-04-15 00:30:00,10.555846258455283,183.35832977834673,193.91417603680202,24.879324493055552,0.3180185763888889,83.75199236474636,1246.8000000000002,52.08205088113888,103.38458559009518,-19.458958481190464,118.48926386805556,438.19341272451,5.216542847948572,0.7038358,,,13.251005979169419,,1.4903127622462518,159.34415,25.349337,4.89155,279.69727,1553.3489,10.0
2010-05-15 00:30:00,16.152888410241868,212.70989308357755,228.8627814938194,23.940030190188168,0.22711374327956987,76.88975889974792,156.0,57.070005958666975,94.63224575697079,-20.660078944973655,119.24246059811829,420.45738652487654,7.004497899352525,1.0499595,,,20.02730999767985,,1.4903127622462518,206.82123,24.767258,7.4130745,70.172874,998.07916,10.0
2010-06-15 00:30:00,31.572568234877874,158.13538835736347,189.70795659224132,22.78145099027778,0.20292112268518517,75.92044566853997,177.0,52.66804336946722,86.593886958138,-20.062135847749975,106.4631136388889,413.916277952093,6.794433520776167,1.1500556,,,22.26521945502935,,1.4903127622462518,181.7554,23.078331,6.5725174,42.051666,391.9218,10.0
2010-07-15 00:30:00,-32.7660104335517,176.86167975572587,144.0956693221742,22.379535376512095,0.23670799731182796,83.5767749919437,223.6,26.75224828307499,83.62359964494698,-26.48862307978192,82.9042854032258,423.1375186239186,4.519899729598216,0.5718587,,,12.524437294539121,,1.4903127622462518,93.12649,23.383549,5.3491096,50.06288,162.28741,10.0
2010-08-15 00:30:00,-37.472957416319815,200.26827225657934,162.7953148402595,22.50592318716398,0.22931922043010752,79.04294864319407,391.3999999999999,56.87304733829084,86.41479622019179,-9.834719390120581,120.69189870295699,416.5477827129586,5.813139592372265,1.058611,,,20.577781171337307,,1.4903127622462518,207.89276,23.528067,6.7696247,29.946264,122.060814,10.0
2010-09-15 00:30:00,8.351459774620023,258.0650710788758,266.41653085349583,24.456629940625003,0.26324571759259263,81.48458656520414,282.40000000000003,90.19998558050285,109.8642832088384,2.5304495460886134,168.49818478472224,425.4292892102852,5.792696078933185,1.0819622,,,20.86667228196007,,1.4903127622462518,218.46066,25.615332,6.897213,46.605835,126.61498,10.0
2010-10-15 00:30:00,5.867040062105476,270.01947686269193,275.88651692479743,24.491571639784944,0.2922055891577061,80.15544478684991,652.0,79.44096595415994,125.25716091739646,-16.907399022843933,161.84834377688173,426.1088080085415,6.2218375686878185,0.99856716,,,19.261606236832304,,1.4903127622462518,234.2966,25.320164,6.9989395,63.950172,140.50227,10.0
2010-11-15 00:30:00,-22.790342584784653,306.4030816127865,283.6127390280018,24.822468055555554,0.2704740740740741,82.69032522345586,807.4000000000001,89.8847404814375,126.69990582621459,1.6678431198497126,175.58259334722223,434.4333029675355,5.538117549519466,1.1792607,,,23.183260915689292,,1.4903127622462518,238.82329,26.044498,6.8904,247.97191,358.52792,10.0
2010-12-15 00:30:00,13.071702621142107,338.8226822821882,351.8943849033303,26.599863071236562,0.29532638888888885,80.03890311332644,750.6,103.9257240289801,132.48602287554834,6.693575390993868,196.19306449596777,443.522083756078,7.114957214003877,1.2616073,,,24.089572791053083,,1.4903127622462518,252.50523,27.64758,7.635645,512.1359,824.058,10.0
2011-01-15 00:30:00,4.716841185491001,310.0532945750538,314.7701357605448,26.315157956989246,0.3105058803763441,79.52876002938697,705.9999999999999,85.67936482262013,123.15751658613281,-1.9269620855502598,174.3035149462366,437.6967974151771,7.172237768848408,1.5437796,,,27.757755342779607,,1.4903127622462518,206.33958,27.44242,7.6026897,553.61755,1313.7253,10.0
2011-02-15 00:30:00,53.44407044538751,200.67631566581892,254.12038611120641,25.720280848214287,0.33752120535714286,82.43564806235538,1628.0,78.2360310403349,118.7700377816376,-1.1179251319245955,161.2472503720238,441.8434358344806,5.935715599816698,1.1152776,,,20.411615220383194,,1.4903127622462518,176.31862,26.505537,5.332548,1070.5009,2136.2544,10.0
2011-03-15 00:30:00,4.806631320497139,288.0890085938445,292.8956399143416,25.72906313172043,0.35432706093189964,84.55430760948406,830.1999999999999,74.43474680502,116.01115025980971,3.0746995490012363,153.48838588037634,442.7211037959749,5.222520121403655,0.8281832,,,16.355133484586414,,1.4903127622462518,175.63095,26.922905,5.8194427,609.46515,2233.5835,10.0
