time,NEE_SOLO_EC,GPP_SOLO_EC,ER_SOLO_EC,ET_EC,Ta_EC,Sws_EC,RH_EC,Precip_EC,Fn_EC,Fe_EC,Fh_EC,Fsd_EC,Fld_EC,CO2_EC,VPD_EC,LAI_RS,EVI_RS,LST_RS,Fpar_RS,tree_cover_RS,nontree_cover_RS,nonveg_cover_RS,LST-Tair_RS,MI_RS,solar_RS,Ta_RS,VPD_RS,precip_RS,precip_cml_3_RS,precip_cml_6_RS,TWI_RS,PFT_RS,x_coord,y_coord
2008-09-15 00:30:00,14.119926333650415,10.973437523824881,25.093363857475296,3.500259843030358,27.37447523611111,0.013556718545833332,29.27700394599062,14.20000000000001,97.70903205811771,3.31336325264633,79.40294837681823,277.4487746194444,390.89752083333326,387.48872922262467,26.413189238212436,0.4092499,0.16028358,319.31232,20.514141,4.9711323,67.49072,28.208967,18.870487,0.0205084,274.92285,27.291836,24.164299,3.9663954,7.8238287,18.780212,12.572903,30.0,133.3502,-17.1507
2008-10-15 00:30:00,-3.3400860173994795,26.792948443007212,23.45286242560773,4.632117144045736,30.30588920242027,0.012997620630655961,24.97248399409002,16.16,110.01820136214492,4.243340286973798,86.42363571945414,304.5594171234309,404.33807414066206,376.3883564693338,33.362694845891035,0.39607537,0.16023286,322.38028,19.106577,4.9711323,67.49072,28.208967,19.199963,0.0011194397,302.8786,30.030323,30.777622,6.5975466,11.824919,19.783665,12.572903,30.0,133.3502,-17.1507
2008-11-15 00:30:00,26.05414240165917,1.5594656296868663,27.613608031346036,31.211650917811667,31.393843221552455,0.07529178678658557,44.737354225375526,51.62307692307692,132.01537955572374,29.54510289041,74.39556595813707,288.78827991048684,440.8003025036834,384.8773897305758,26.195439817384642,0.37903687,0.14990428,320.099,18.283186,4.9711323,67.49072,28.208967,14.622005,0.33749717,288.87347,32.327,28.411238,57.810905,68.37485,75.16901,12.572903,30.0,133.3502,-17.1507
2008-12-15 00:30:00,-2.9529817657315443,40.42680971767133,37.47382795193978,64.24646992296432,29.897434637096776,0.16285845217741937,56.99393549044369,41.9,138.54359480065895,58.85421841509306,60.048589058581534,265.4520152084637,430.3283765522379,382.5197826745554,18.668060321259087,0.3785025,0.15340869,320.62332,16.625738,4.9711323,67.49072,28.208967,16.443485,0.7684018,266.6891,31.029842,21.064287,141.78294,206.1914,214.01523,12.572903,30.0,133.3502,-17.1507
2009-01-15 00:30:00,-33.52006119374841,73.05712176927614,39.53706057552774,120.17087844629899,27.43304088709677,0.24744199213709675,75.79661434176286,488.99999990000003,152.9516107455667,110.08485191003554,24.06313147386869,240.92284902160682,430.24991580513426,368.85731811603654,9.07120076379674,0.61341894,0.2150422,307.50235,25.97193,5.477783,67.08191,28.14787,5.3955803,1.9888201,245.77734,28.956776,12.704039,348.8766,548.47046,560.29535,12.572903,30.0,133.3502,-17.1507
2009-02-15 00:30:00,-35.58369087662067,67.70536868593003,32.12167780930935,121.52984734860483,27.39150149580404,0.21284559228869113,68.86950450665414,212.4,147.40876175309435,123.2579503366968,23.308274535984147,243.30563379971764,420.73204637127265,367.22229904958897,11.63832937599593,0.8707698,0.2966466,308.50235,36.173912,5.477783,67.08191,28.14787,6.840212,1.8672582,257.3826,28.512144,12.444664,196.94507,687.6046,755.97943,12.572903,30.0,133.3502,-17.1507
2009-03-15 00:30:00,-39.353848207199995,65.7001544616,26.346306254399998,178.6605832164982,27.720275623117573,0.08925518744421344,52.525597966735276,8.022222222222222,161.82389510505394,163.6654745295699,23.783590389784944,290.8461353110017,395.0226105145557,376.3968761400284,18.10238875483585,1.2250282,0.32040069,312.8525,48.282948,5.477783,67.08191,28.14787,11.563641,0.011383586,313.6873,28.138874,16.284843,27.212784,573.0344,779.2258,12.572903,30.0,133.3502,-17.1507
2009-04-15 00:30:00,-29.3831553348,51.8981877594,22.5150324246,152.9189025024454,26.545351067860985,0.06462075583898891,44.87817451103859,4.6,129.11413818520546,144.75378826388888,22.391606319444442,254.29320765866646,389.63705748877544,382.5548352390316,19.583075786698366,0.8610883,0.26080954,313.3653,40.53324,5.477783,67.08191,28.14787,12.806471,0.005373051,264.01236,27.40883,20.319628,8.405494,232.56334,781.0338,12.572903,30.0,133.3502,-17.1507
2009-05-15 00:30:00,1.348802199093846,17.317444192682306,18.66624639177615,63.59124717478468,22.389260317573086,0.06801824803648857,38.39350635370394,0.6000000000000001,103.64824530383218,58.253988974033625,58.97483362171239,214.49853068288064,367.30982619660057,386.8697684306571,16.965214401565998,0.636174,0.21577932,309.82935,33.15565,5.477783,67.08191,28.14787,13.749994,0.002447482,225.24269,22.929358,18.251928,4.879327,40.497604,728.10223,12.572903,30.0,133.3502,-17.1507
2009-06-15 00:30:00,11.376342482675046,3.414875881690586,14.791218364365633,7.847150842525936,20.564877947916667,0.06750124136040918,39.79035346974741,0.0,61.780984197916666,7.4281517388972365,65.19359157243376,211.9983012800139,351.30641541817806,391.92403122667196,14.792763128314997,0.6013757,0.20408745,308.90762,32.25054,5.477783,67.08191,28.14787,15.28713,0.0,226.77084,20.470499,13.371553,2.2652526,15.550074,588.58453,12.572903,30.0,133.3502,-17.1507
2009-07-15 00:30:00,10.744404049811632,2.8944926451510433,13.638896694962673,7.931658637004066,20.215744342741935,0.05912365504192778,35.31558979813718,0.0,64.94719490973306,7.265948936586461,70.7250750335302,223.46321561060486,343.9514170992398,388.4502103948822,15.546413057674437,0.5628076,0.19580919,308.9601,29.956379,5.477783,67.08191,28.14787,15.799635,0.0,232.66129,20.010485,13.620193,2.6255102,9.77009,242.33344,12.572903,30.0,133.3502,-17.1507
2009-08-15 00:30:00,12.953561857087166,3.649551332408901,16.60311318949607,7.155858008069574,24.297034808467743,0.04841808925293961,29.757743947446293,0.0,81.33035720901644,6.555261801299099,77.69934729985471,253.4121480162433,358.39311668648526,387.40301581743716,21.76182887958284,0.51293653,0.19084813,314.96243,27.66436,5.477783,67.08191,28.14787,18.056631,0.0,259.5318,23.755808,17.711218,1.2841539,6.1749167,46.67252,12.572903,30.0,133.3502,-17.1507
2009-09-15 00:30:00,10.661253467789258,7.523843138199985,18.185096605989244,10.601291281329225,27.73620258333333,0.04678795543951403,27.46913917297592,0.0,94.5464216760367,10.035234678961954,88.71954953223627,269.12183919152085,379.99618098957063,372.92865428118864,27.68305314115198,0.5334072,0.1898984,318.99356,25.299398,5.477783,67.08191,28.14787,18.657068,0.0,280.33566,27.186499,22.35521,3.0017145,6.911379,22.46145,12.572903,30.0,133.3502,-17.1507
2009-10-15 00:30:00,10.619802927357387,8.342546659097447,18.962349586454835,17.47660237022824,28.669697729767577,0.05094072725061868,23.952669152866225,10.6,116.6534248696568,16.009778814065115,96.59458276421222,303.7337243469885,379.30199601488874,362.6084674554125,30.690837305047836,0.5250337,0.18306199,320.18536,24.400925,5.477783,67.08191,28.14787,18.702791,0.046127543,315.3524,28.332579,27.384064,6.5409136,10.826782,20.596872,12.572903,30.0,133.3502,-17.1507
2009-11-15 00:30:00,16.477017095450172,4.0360531742223955,20.513070269672568,8.961153061687845,31.48502021401593,0.03414106636425339,30.65356097211344,2.2,112.3455005157633,8.482671740801425,95.84576801788907,302.46659456964323,403.7797056554767,394.58948833051915,33.0472315604065,0.46248496,0.17753236,320.19766,21.320986,5.477783,67.08191,28.14787,15.507,0.014865153,310.05014,31.540668,28.390966,19.272556,28.815186,34.9901,12.572903,30.0,133.3502,-17.1507
2009-12-15 00:30:00,27.215201752097695,-3.511899001236895,23.7033027508608,32.9895375456768,30.85890538306452,0.09674386058534945,44.563425295207914,49.199999,121.22252102361476,30.22070240519437,90.78043571898827,293.882278421418,417.6183897177419,389.4773643175607,25.466490486350015,0.40684724,0.1530712,322.3729,18.716803,5.477783,67.08191,28.14787,17.934351,0.57401246,282.57538,31.28855,24.867174,75.48538,101.29885,108.210236,12.572903,30.0,133.3502,-17.1507
2010-01-15 00:30:00,2.204473260003926,35.96208331437234,38.16655657437627,86.35381638515773,29.074050584677416,0.18663759572580643,61.604716243975176,150.6,132.26891962652525,79.1060797052804,60.09861594935751,274.830443806672,422.73017500000003,393.88217051223677,15.872786862535813,0.5790712,0.20613062,318.34338,25.591377,3.7998176,67.70589,29.223345,15.236614,0.6919007,268.07053,29.956776,16.75749,131.3367,226.09464,236.92142,12.572903,30.0,133.3502,-17.1507
2010-02-15 00:30:00,-0.380659837103285,37.19542067758465,36.81476084048137,65.59570197339093,28.720866941964285,0.16963631109374996,63.502071359721086,183.8,122.10081896707139,66.52844509007605,63.024354090276766,260.6311614270655,422.4473593005952,394.6530409874089,14.774643170662085,0.6005387,0.21751678,321.52625,26.9016,3.7998176,67.70589,29.223345,18.457144,0.9007734,255.94826,29.919107,16.486147,201.49344,408.31552,437.1307,12.572903,30.0,133.3502,-17.1507
2010-03-15 00:30:00,-80.25787962582544,123.55609330360355,43.298213677778115,121.47730512212345,27.612286263827862,0.17557461397715365,59.50720081752053,66.19999999999999,138.401038540717,111.28162927405994,37.11871310702606,271.1439738286705,405.3942852820552,402.1533864866229,15.340544026828303,0.9461572,0.29848668,311.9406,40.088745,3.7998176,67.70589,29.223345,10.503681,0.3712256,271.61365,28.286938,15.323933,46.475403,379.30554,480.6044,12.572903,30.0,133.3502,-17.1507
2010-04-15 00:30:00,-39.298024557661805,89.662635717001,50.3646111593392,75.86976550041683,27.395442701320817,0.1397746645424066,55.55419949549457,24.4,118.21928199953129,71.81869468820322,48.26198164828924,240.15640413172034,408.27886045736443,388.8663020801048,16.620275148415423,0.90288776,0.24921598,312.77045,40.85619,3.7998176,67.70589,29.223345,11.251289,0.06460505,233.15973,28.369164,18.115545,14.107031,262.07587,488.1705,12.572903,30.0,133.3502,-17.1507
2010-05-15 00:30:00,19.265053852689356,20.73506986640551,40.00012371909487,30.995433237648164,24.301293004032257,0.10989012270161291,49.58842071586428,24.4,80.3368936869106,28.393964677379607,56.54894341506804,196.89081160844893,382.631600672043,383.3887106834658,15.622146536029579,0.5303985,0.17484803,311.1707,27.542082,3.7998176,67.70589,29.223345,13.112305,0.26118192,199.94398,24.908386,14.685818,14.603384,75.18582,483.50134,12.572903,30.0,133.3502,-17.1507
2010-06-15 00:30:00,15.831788451842014,11.558134335698497,27.389922787540513,13.952011866498154,19.969618422368647,0.09574243345330208,36.966145154790475,0.0,78.17486421969004,13.207043331651185,66.9209184074724,225.11349198480343,326.01151909821635,382.1587023846319,14.916142110965541,0.40868098,0.1470943,308.7015,22.283382,3.7998176,67.70589,29.223345,15.387512,0.0,222.67363,20.164001,14.12493,2.2714586,30.981873,410.2874,12.572903,30.0,133.3502,-17.1507
2010-07-15 00:30:00,11.939312805891406,9.363765998372468,21.303078804263876,13.68982769847703,21.92985515019569,0.07431119957267286,43.69974269688097,7.000000000000001,76.950021203708,12.54083080980557,65.26316259896339,204.0401491166529,359.74568319831997,381.0205811031067,15.066892564242321,0.358635,0.1414859,310.80334,19.622726,3.7998176,67.70589,29.223345,15.479481,0.05135591,198.27504,22.17387,16.355553,3.3772693,20.252113,282.32797,12.572903,30.0,133.3502,-17.1507
2010-08-15 00:30:00,11.106303050410535,7.065844494510584,18.172147544921117,10.173488095337378,22.674075093413975,0.056752323608870954,30.760537547526994,0.2,95.8852490759797,9.319620068219754,84.7523268002462,258.8057737248656,342.1464347138776,379.82032231784564,19.407377100670065,0.36255366,0.13659382,315.43658,19.524899,3.7998176,67.70589,29.223345,19.748203,0.0,249.30927,22.538387,19.285309,1.3390785,6.9878063,82.17363,12.572903,30.0,133.3502,-17.1507
2010-09-15 00:30:00,15.95684176062366,4.517459665855029,20.47430142647869,21.63468902045021,27.74137351388889,0.07561846166666666,38.48822771501793,22.599999999999998,117.86163339869955,20.479503464728637,91.33234315083905,276.07871543670836,391.62226298611114,377.9692524256099,23.484647549074857,0.3783287,0.13774028,317.06894,18.566616,3.7998176,67.70589,29.223345,15.6926155,0.012999003,261.68594,28.22633,25.052412,7.6079955,12.324343,43.306213,12.572903,30.0,133.3502,-17.1507
2010-10-15 00:30:00,19.467846717411568,0.8332220918638658,20.301068809275435,31.384210754193067,27.68183768145162,0.08000911987903225,43.10465396777392,50.0,112.14200892007449,28.750111822912224,85.59596128555262,270.48742799208736,396.61886586021507,381.556700586638,21.64471859031036,0.39960963,0.13996744,318.8944,18.390997,3.7998176,67.70589,29.223345,17.372961,0.0784201,261.94745,28.371454,23.93821,79.635185,88.58226,108.83437,12.572903,30.0,133.3502,-17.1507
2010-11-15 00:30:00,17.44260719342764,3.5785766786112294,21.021183872038872,38.40185515482119,28.568092770833335,0.08916096093749998,40.46757065087364,46.6,123.3530879707978,36.35138572834464,85.17873425344843,294.94081634742565,393.7821930555556,384.34733928624127,23.880750440474294,0.3894995,0.1455362,322.8301,18.05199,3.7998176,67.70589,29.223345,20.711946,0.32356235,295.62112,28.968168,24.817486,40.559708,127.80289,134.7907,12.572903,30.0,133.3502,-17.1507
2010-12-15 00:30:00,14.8667061857841,15.944973939812513,30.811680125596613,57.79457402766708,29.399255221774194,0.12703845079301074,55.39419152180772,103.799999,119.45955975943716,52.94383469021951,65.70585249246642,262.26827622656924,424.9646836021506,381.97972612836327,18.799720333608033,0.39014006,0.15821698,320.18933,18.19896,3.7998176,67.70589,29.223345,16.816113,0.5170558,254.74539,30.223225,21.227186,93.16046,213.35535,225.67969,12.572903,30.0,133.3502,-17.1507
2011-01-15 00:30:00,-30.241194314704554,71.01398573527126,40.772791420566705,128.6624745873758,27.981733239247312,0.21422958018145158,70.79299582107818,373.20000000000005,152.4875253021565,117.86374240127888,29.70887060552141,277.17184908226477,424.4027850806451,367.47932542406653,11.312712016542518,0.690314,0.21771003,311.32654,29.44898,8.800442,68.067116,23.846924,8.809769,1.1687734,269.97458,29.366776,15.307573,228.0564,361.77655,450.35883,12.572903,30.0,133.3502,-17.1507
2011-02-15 00:30:00,-62.7689758429729,101.0614937759162,38.292517932943305,116.36292269749168,26.557921945614755,0.22289059579922169,75.26392132030966,178.00000000000003,165.89852293802292,118.01755420410284,34.8546601884868,258.21930519975007,425.0145548562581,356.60403535146025,8.794640967824156,1.0048084,0.28153303,307.9681,38.810593,8.800442,68.067116,23.846924,6.466692,0.78632236,239.90988,28.351423,12.784739,210.30661,531.52344,659.32635,12.572903,30.0,133.3502,-17.1507
2011-03-15 00:30:00,-55.06468741661976,95.36373867152011,40.29905125490035,116.51652924269538,26.31507317946655,0.23739528464044682,74.69324880712672,240.399999,132.47679917486604,106.73721481103546,27.75628888882826,226.7848580581928,425.4680882739926,345.775486565104,8.86634642249898,0.77190673,0.2793755,306.7383,31.233744,8.800442,68.067116,23.846924,5.984606,2.5906787,214.8223,27.603712,12.7301655,264.60724,702.9702,916.3256,12.572903,30.0,133.3502,-17.1507
2011-04-15 00:30:00,-61.311695085128775,96.10753287614749,34.79583779101872,118.10187192163255,23.94826669800968,0.1844040377532167,60.663020405738784,74.60000000000001,125.89746520057092,111.79581518013798,38.68947316057172,248.11728941614282,374.80877204868074,329.38844199366497,11.92871165097537,0.97788566,0.28403082,306.1699,43.648544,8.800442,68.067116,23.846924,8.5179,0.2270894,245.1157,24.501997,13.704868,30.621952,505.5358,867.3123,12.572903,30.0,133.3502,-17.1507
2011-05-15 00:30:00,-30.311301969790236,55.51573445275764,25.20443248296741,77.81026288278854,19.48171025037879,0.08243666797518577,50.62873652777346,0.0,98.71508027903208,71.27959267070264,51.86136222978174,247.85276744658017,322.713113307208,335.8673647935454,11.327825082247877,0.9240089,0.27623224,304.86554,43.78316,8.800442,68.067116,23.846924,11.544737,0.0,242.15201,20.170809,12.711153,2.5965505,297.82574,829.3492,12.572903,30.0,133.3502,-17.1507
2011-06-15 00:30:00,-15.536382376769994,37.80473023976468,22.268347862994684,32.9000211161102,16.869514235341985,0.05426763899999999,54.2295449631248,0.6000000000000001,85.23769020845138,31.143322457749996,54.99875789271272,226.25110722097224,304.96882227580335,384.36199408585105,8.885715533731481,0.8468089,0.25961968,302.95514,41.26891,8.800442,68.067116,23.846924,12.965977,0.017195635,222.65817,16.839169,9.606735,2.4147916,35.633293,738.6035,12.572903,30.0,133.3502,-17.1507
