time,NEE_SOLO_EC,GPP_SOLO_EC,ER_SOLO_EC,ET_EC,Ta_EC,Sws_EC,RH_EC,Precip_EC,Fn_EC,Fe_EC,Fh_EC,Fsd_EC,Fld_EC,CO2_EC,VPD_EC,kNDVI_RS,kNDVI_anom_RS,LST_RS,trees_RS,grass_RS,bare_RS,C4_grass_RS,LST-Tair_RS,TWI_RS,NDWI_RS,rain_RS,rain_anom_RS,rain_cml3_anom_RS,rain_cml6_anom_RS,rain_cml12_anom_RS,srad_RS,srad_anom_RS,vpd_RS,tavg_RS,tavg_anom_RS,SOC_RS,VegH_RS,x_coord,y_coord
2002-02-15,2.88412260568872,168.9713769594108,77.88606651428887,77.88606651428887,14.195960892224921,0.22448382427659808,75.80365088918809,143.0,145.87838899062754,78.99357341247484,56.389691907854825,222.23323458279887,328.54015239452593,338.2148948334122,3.9465765010260485,0.48700723,1.0054818,19.223328,0.41030583,0.24615891,0.34353524,0.12565804,4.559622,7.79193,0.025905296,177.34103,2.0253801,,,,19.661606,0.87876135,5.4176774,14.663706,0.8740245,9.962778,17.44201,148.1516,-35.6566
2002-03-15,-53.468364989871034,230.53010095004015,93.49948368757552,93.49948368757552,14.288844086021507,0.18003037780613998,64.19011040967791,35.8,85.8550134408602,85.65200611403648,53.79679031356697,241.13755376344085,306.1766115763704,335.739011156778,5.876584611998503,0.514989,1.0141803,17.922821,0.41030583,0.24615891,0.34353524,0.12565804,3.700695,7.79193,0.013904185,61.067444,0.685869,1.1414114,,,19.950205,1.073501,8.273702,14.222126,0.99492913,9.962778,17.44201,148.1516,-35.6566
2002-04-15,-44.97837458283945,180.86579348567537,56.205904725849614,56.205904725849614,12.026055555555557,0.18175796516675394,73.8767812081495,20.4,56.64783042572338,53.20478697351258,31.060860083566432,166.04616666666666,299.33098104633586,338.4966614292016,3.690338700070102,0.55484825,1.0418656,15.11676,0.41030583,0.24615891,0.34353524,0.12565804,3.5036879,7.79193,0.032314576,33.02773,0.39822185,1.0458599,,,14.080628,1.0167774,5.911189,11.613072,1.1360955,9.962778,17.44201,148.1516,-35.6566
2002-05-15,-37.60537741426591,120.04642100137042,32.8793419373446,32.8793419373446,6.679879032258064,0.20072678186724238,78.17454417611127,101.2,26.130634921087182,30.1197555919462,19.675087706506197,103.91280913978495,281.93820942327477,337.981332742368,2.1431491658504083,0.5639758,1.0289326,8.410889,0.41030583,0.24615891,0.34353524,0.12565804,2.214675,7.79193,0.05543175,95.879196,0.9042842,0.6833553,,,9.456047,1.0001405,3.420378,6.1962137,1.0012319,9.962778,17.44201,148.1516,-35.6566
2002-06-15,-31.50910449216055,94.99467618743302,29.347870135918622,29.347870135918622,3.802834476940912,0.2434327736999357,84.21720802601814,190.8,13.625902770037142,27.78083879841433,16.866340579857493,81.57578506625232,280.8169829914646,338.6466937781217,1.2669126671568602,0.5607355,1.028306,6.62442,0.41030583,0.24615891,0.34353524,0.12565804,2.973064,7.79193,0.06100436,207.76758,1.3612521,0.9855942,1.0529948,,7.6391354,0.96794033,1.8527144,3.6513562,1.0196514,9.962778,17.44201,148.1516,-35.6566
2002-07-15,-49.74524150727608,85.72445518899264,25.777998609600125,25.777998609600125,2.8729982206896465,0.24799774241702346,78.34133978920487,148.6,23.08497685395371,23.614433015425206,14.897330229363394,102.95481171603885,264.2027304555734,339.4787849538132,1.6274825825506456,0.52946734,1.0137359,5.133484,0.41030583,0.24615891,0.34353524,0.12565804,2.4152756,7.79193,0.06559921,151.74718,0.9089446,1.0817649,1.0649052,,8.612483,1.0868112,2.0916185,2.7182083,1.0242771,9.962778,17.44201,148.1516,-35.6566
2002-08-15,-49.09783445985151,103.74328253907635,33.33647943695093,33.33647943695093,3.368134503230875,0.24289774372469944,75.62359468949388,59.800000000000004,50.49291529463303,30.538525218975064,38.87967310644427,141.24402882423104,258.9158916971791,337.72603589631683,1.8973588472955876,0.504775,1.0166199,8.063263,0.41030583,0.24615891,0.34353524,0.12565804,4.56093,7.79193,0.053616337,94.07822,0.58848417,0.95160085,0.8552858,,12.552086,1.0871356,3.1545417,3.5023332,1.0732726,9.962778,17.44201,148.1516,-35.6566
2002-09-15,-49.52646108876789,132.4722960414563,47.47985727787558,47.47985727787558,5.55213510378046,0.24067637349798765,72.97476737753678,163.2,84.18870918000825,44.94466736766803,47.95841633456477,181.7956698243986,272.2099336799178,337.88304368274686,2.453383512928433,0.4753259,1.0030745,10.840576,0.41030583,0.24615891,0.34353524,0.12565804,4.5007586,7.79193,0.016894126,171.40857,1.261497,0.9017546,0.94526386,,15.121353,0.9780693,4.397382,6.3398175,1.0306462,9.962778,17.44201,148.1516,-35.6566
2002-10-15,-67.28629854245844,187.05148521881003,65.72252377276543,65.72252377276543,7.295940860215054,0.20636021505376345,61.2891419081755,18.8,126.84733870967743,60.20638602481229,83.39865643823296,244.91728494623658,280.2792944527959,324.8551758043766,3.9667086993701806,0.41924277,0.9411902,15.609039,0.41030583,0.24615891,0.34353524,0.12565804,6.5865746,7.79193,0.00035424225,29.734058,0.2888632,0.74050087,0.91577435,,21.383417,1.0410221,7.6178036,9.022465,0.9428953,9.962778,17.44201,148.1516,-35.6566
2002-11-15,-124.6330235195102,277.8412741483669,64.66498282329152,64.66498282329152,13.11522222222222,0.14905582589905575,53.16511221288758,22.4,158.12331944444446,61.21219207377626,80.733351670743,287.2275694444444,305.188835477587,330.0353699290961,7.113186676215601,0.37693,0.86791116,21.679504,0.41030583,0.24615891,0.34353524,0.12565804,6.7469378,7.79193,-0.01805884,28.730818,0.22707488,0.62920827,0.81171715,,25.584028,1.0709679,12.919999,14.932567,1.1504049,9.962778,17.44201,148.1516,-35.6566
