time,NEE_SOLO_EC,GPP_SOLO_EC,ER_SOLO_EC,Ta_EC,Sws_EC,RH_EC,Precip_EC,Fe_EC,Fh_EC,Fsd_EC,Fn_EC,Fld_EC,VPD_EC,lai_RS,LST_RS,Fpar_RS,soil_moisture_RS,LST-Tair_RS,spei_RS,solar_RS,Ta_RS,VPD_RS,precip_RS,precip_cml_RS,IGBP_class_RS
2015-07-15 00:30:00,-11.788053054158873,124.79020896828325,113.00215591412439,25.647913208504136,0.06704728428832941,63.3063289828917,0.0,69.2784893344996,40.63243573312626,224.07338043334724,101.26282560143756,331.86762067078627,12.345868071480265,1.2333333,308.9483,49.542647973200175,0.12094153,10.600924,-1.1470677,248.88364,22.98242,14.888801,2.027411,2.0274109840393066,2.0
2015-08-15 00:30:00,-1.8979164001708067,105.51842983754432,103.6205134373735,28.566393576948187,0.01926644149126519,53.94871597299417,0.4,58.73143164862685,60.44449533957904,245.0294188629995,113.53430511626343,337.8833573461992,18.471072130828222,1.0666667,312.05396,45.216384993449886,0.12083454,11.998251,-0.8403922,270.54587,24.080484,12.2715645,1.8484168,3.8758277893066406,2.0
2015-09-15 00:30:00,-1.4359205295389712,83.5221139350831,82.08619340554412,28.709655655539173,0.010212422464934328,60.59971940984817,0.8,57.86670171954417,72.07110781898929,271.67708983296876,122.81933742762558,348.5675239541926,15.938888779222296,1.2249999,316.17,41.53727300840482,0.12180326,14.155491,-0.3765747,280.43985,26.453335,14.388489,8.701347,12.57717514038086,2.0
2015-10-15 00:30:00,1.8901900590052008,71.60647997520287,73.49667003420808,28.36696348128774,0.011265072569634962,68.64348429217034,17.0,61.196265273597156,82.54716243718248,246.2904384486473,118.62767869747917,371.72388638732,12.428250669359404,1.3333333,317.46667,41.205081154716,0.13234772,12.507523,-0.65680504,269.67963,28.698868,16.529646,23.725742,34.27550649642944,2.0
2015-11-15 00:30:00,24.940155775764882,90.66777291921555,115.60792869498043,27.628332645833336,0.10204263127976411,74.62376117034503,197.2,91.34045826935245,47.323338112866296,227.3676312652917,147.44151813327778,379.1005463888889,9.622953681312765,1.4,314.71143,45.48490285479306,0.14846356,10.269808,-1.4448142,259.98068,29.79733,15.202814,77.42554,109.85262680053711,2.0
2015-12-15 00:30:00,-6.871363803948149,153.30987815853888,146.43851435459075,26.10035295026882,0.1731713945818888,84.32917647278808,714.999998,133.56362810899537,20.56193993403652,184.48074348088,129.3736043800944,385.8080301075268,5.41940228627892,1.5,305.6,39.27240532253919,0.19428085,0.606308,0.42874125,177.85619,27.94371,9.180952,446.00284,547.1541175842285,2.0
2016-01-15 00:30:00,-41.51583621914358,183.87331132985383,142.35747511071025,27.23568983870967,0.15478192886424733,82.50827972274466,283.399999,105.18257583451334,30.84126303212696,230.80973635532865,160.89850010270766,383.28482331989244,6.4784075922848405,1.7249999,309.38,49.59516755841761,0.20035031,0.40581512,-0.65737903,241.18127,28.72419,10.200373,201.41673,724.8451080322266,2.0
2016-02-15 00:30:00,-40.91898584485379,178.97052980530506,138.05154396045126,27.4693033045977,0.1532604884949713,80.31956545300123,230.00000000000003,122.5697474407123,26.5381149760684,219.16123349953645,149.19422485238127,384.66622895114944,7.392127196265823,2.2,306.85498,53.17304463147627,0.2019475,5.1221695,-1.1429458,262.91507,28.634483,9.3305645,184.22334,831.6429138183594,2.0
2016-03-15 00:30:00,-28.109730456458706,183.24096825757357,155.13123780111485,27.706402318977442,0.14363018733601265,81.3335577998364,156.2,110.19648708691557,26.400565577951994,217.86601519405303,151.65202247845104,385.34339510544834,7.111752088305721,2.3,307.47998,61.722870071497724,0.18659936,4.672346,-1.2172391,243.94786,29.150164,9.497902,222.52837,608.1684417724609,2.0
2016-04-15 00:30:00,-32.43802205805414,163.18209110670068,130.74406904864657,27.925461680555554,0.08813396078125,67.55851845902667,39.8,115.63077500193519,25.633695455764514,238.81282967610557,157.02378835685553,370.2085746527777,12.523253330742433,2.175,307.835,61.73045109795031,0.15328908,4.6225185,-1.3188432,271.77078,28.569162,13.164417,15.782866,422.534574508667,2.0
2016-05-15 00:30:00,5.926833562942271,130.73603840610895,136.66287196905125,26.902749574807686,0.10260613321802056,71.11841187650606,66.80000000000001,90.87648555738585,32.03344172646232,201.57812252310333,130.36859141212813,371.79525437559704,10.484512528627395,1.6333333,310.16287,47.72968550159147,0.15103233,4.6861973,-1.039163,243.6492,27.738546,12.185566,81.27916,319.5903911590576,2.0
2016-06-15 00:30:00,15.977147971781388,78.2292586771465,94.2064066489279,26.221489118055555,0.04678375890277778,60.16149761290587,0.0,52.456891969220464,50.80022186856807,202.24004693439582,112.6495802185625,350.955719375,13.878749853807419,0.9,311.2358,46.566438236133564,0.131652,7.382391,-1.8629774,240.52084,26.030664,13.458614,1.0283022,98.09032726287842,2.0
2016-07-15 00:30:00,-8.444057149386595,87.19199374080102,78.74793659141443,23.960262889784946,0.03442237920026882,50.494300075207185,6.800000000000001,58.87020691677737,46.0341155230812,209.10236983482258,106.59894011155376,326.71125100806455,15.023396578569002,0.95,310.54834,45.45920653489856,0.12721096,12.518766,-1.4500172,247.5956,23.307741,13.780923,4.778357,87.08581876754761,2.0
2016-08-15 00:30:00,-34.55321088152614,104.56985382114168,70.01664293961554,24.84362210960621,0.02473903996839427,54.138433653240774,0.0,65.72235268452374,57.10465762408447,234.33951599876218,126.18084362166836,334.32482917853997,14.69209750772585,1.025,314.43036,45.90860165887449,0.12171874,20.77235,-0.91339225,272.5769,24.680164,13.911589,1.8402352,7.646894454956055,2.0
