time,NEE_SOLO_EC,GPP_SOLO_EC,ER_SOLO_EC,ET_EC,Ta_EC,Sws_EC,RH_EC,Precip_EC,Fn_EC,Fe_EC,Fh_EC,Fsd_EC,Fld_EC,CO2_EC,VPD_EC,kNDVI_RS,kNDVI_anom_RS,LST_RS,tree_cover_RS,nontree_cover_RS,nonveg_cover_RS,LST-Tair_RS,TWI_RS,NDWI_RS,rain_RS,rain_anom_RS,rain_cml3_anom_RS,rain_cml6_anom_RS,rain_cml12_anom_RS,srad_RS,srad_anom_RS,vpd_RS,tavg_RS,tavg_anom_RS,SOC_RS,C4_percent_RS,x_coord,y_coord
2013-04-15,-15.131058636599999,115.9450797294,126.33673219758722,126.33673219758722,26.31096793388097,0.0941059860151998,67.22669667551256,27.199999999999996,172.52653708803444,119.59097458333332,37.39859958333333,278.8814614189173,404.3931612825144,393.43766496081065,11.479437180368015,0.29989734,1.0568917,34.160522,13.573202,84.217445,2.4698954,6.8776207,10.0,-0.05047503,33.086697,1.5153961,1.2340966,0.8645326,0.84836465,22.95908,0.9984772,25.217516,27.282902,0.98185045,0.81842667,81.94342,132.3706,-15.2588
2013-05-15,-0.4929747101999995,89.12293751520001,118.46946406912292,118.46946406912292,25.894001114845576,0.06736486851757527,61.736193065110776,0.2,136.76881257887706,108.52623844086021,31.6213753360215,236.3762954904145,408.68802806237267,393.3418291679915,13.068072028548617,0.27422252,1.1069971,30.83081,13.573202,84.217445,2.4698954,4.6842346,10.0,-0.06271119,0.2210882,0.07068107,2.0753615,0.83573973,0.84675264,19.734884,0.9672713,21.010878,26.146576,1.0540347,0.81842667,81.94342,132.3706,-15.2588
2013-06-15,19.760752222199997,60.5081204892,111.30606996250407,111.30606996250407,23.3874691692799,0.06888478927909392,57.03095422107706,2.4,117.02425215522716,105.36287548611112,25.777143958333333,226.73525371795654,378.211099693741,393.4822514637015,12.587555931084918,0.23791704,1.0681875,29.603363,13.573202,84.217445,2.4698954,5.9584007,10.0,-0.08098324,0.007653134,0.00419304,1.2437232,0.9940677,0.8462301,18.861202,0.9860904,22.455793,23.644962,1.0713103,0.81842667,81.94342,132.3706,-15.2588
2013-07-15,10.155120354,69.8986294776,113.56786540593414,113.56786540593414,22.860297427188154,0.06572085453424016,56.81635720810898,0.0,122.1198392874718,104.03603440860216,29.725106115591398,243.64543624773492,369.64349634421205,393.8137667465724,12.244642107904607,0.20031042,1.062217,31.572296,13.573202,84.217445,2.4698954,8.659689,10.0,-0.09909334,0.07459628,0.47784027,0.059067167,1.1771238,0.8352812,19.270687,0.98466223,22.33291,22.912607,1.0420811,0.81842667,81.94342,132.3706,-15.2588
2013-08-15,-1.2213997055999979,83.053967211,125.10015816759048,125.10015816759048,23.63959937638985,0.06540104554650898,51.64955414025611,0.0,144.35959852398457,114.60041370967743,32.30244697580645,287.5363763623221,362.2421598815043,394.5590754597421,14.386003448184496,0.15947759,1.0338856,36.138947,13.573202,84.217445,2.4698954,12.275064,10.0,-0.10560857,0.0067898324,0.016324889,0.03927588,1.9848565,0.8352314,23.224566,1.0315359,28.363245,23.863882,1.0188521,0.81842667,81.94342,132.3706,-15.2588
2013-09-15,14.253484573799998,75.1294483038,115.35073276002608,115.35073276002608,28.56704017435657,0.06095353834568145,47.04283424963975,0.0,156.287511086946,109.19157326388888,44.78764319444444,295.2571254065404,407.5698086715423,395.3322758610328,21.241825620977288,0.13706706,1.0178293,40.946808,13.573202,84.217445,2.4698954,12.065548,10.0,-0.11060334,0.85505176,0.2471877,0.23230043,1.1002457,0.83135337,24.541409,0.9946355,31.750105,28.88126,1.0372329,0.81842667,81.94342,132.3706,-15.2588
2013-10-15,8.7197975676,90.3357462276,124.77510366807955,124.77510366807955,30.881115172582486,0.06201353481126823,40.81176779086771,6.800000000000002,168.22685139258186,114.30264126344086,48.65784697580646,312.20913067871066,423.8732822762132,396.60649992803036,27.22541884549029,0.13698184,1.0608412,43.699646,13.573202,84.217445,2.4698954,12.002026,10.0,-0.11051055,2.9654188,0.16869372,0.17839587,0.15534861,0.8319824,26.45815,1.0123893,38.115208,31.69762,1.0292133,0.81842667,81.94342,132.3706,-15.2588
2013-11-15,-24.126040373400002,134.3453917554,127.43106947342682,127.43106947342682,29.678371078674516,0.09407345048851852,56.982018451201846,116.36363636363636,188.41002493036365,120.62687965277776,50.252350972222224,305.53983280953315,438.50008968939795,397.93333266355796,18.43282962463857,0.15088509,1.10477,44.25528,13.573202,84.217445,2.4698954,12.978268,10.0,-0.10570524,56.439125,0.9101839,0.72561413,0.7073763,0.81243736,25.080278,0.9920124,28.296001,31.277012,0.98857355,0.81842667,81.94342,132.3706,-15.2588
2013-12-15,-26.22800997172577,147.27329141684717,131.0028730047321,131.0028730047321,29.210416176422584,0.11183436148014743,63.735293751329166,231.89999899999998,193.52704092034784,120.00770952972323,46.60396384751439,294.3087582242715,441.18412040654056,401.4459319344931,15.113934790359039,0.22271568,1.2879126,37.637207,13.573202,84.217445,2.4698954,6.9469166,10.0,-0.07244319,150.57907,0.6899699,0.7050517,0.6987383,0.8855211,25.235584,1.0488362,22.884981,30.69029,0.99497265,0.81842667,81.94342,132.3706,-15.2588
2014-01-15,-24.725859410957,157.38641913679555,125.30261980552096,125.30261980552096,28.08686370295699,0.14951656952284945,72.83747728189353,286.999999,163.49739319170078,114.7858825996215,25.351483632612283,258.19701218536557,443.98683669354836,404.46038402866316,10.587223195585969,0.3087992,1.2726928,34.651978,5.207099,89.17354,6.029869,5.1124096,10.0,-0.018688602,214.17326,0.8797547,0.7964893,0.7723911,0.94360584,22.519896,0.99807274,18.053986,29.539568,0.99461776,0.81842667,81.94342,132.3706,-15.2588
