time,NEE_SOLO_EC,GPP_SOLO_EC,ER_SOLO_EC,ET_EC,Ta_EC,Sws_EC,RH_EC,Precip_EC,Fn_EC,Fe_EC,Fh_EC,Fsd_EC,Fld_EC,CO2_EC,VPD_EC,kNDVI_RS,kNDVI_anom_RS,LST_RS,trees_RS,grass_RS,bare_RS,C4_grass_RS,LST-Tair_RS,TWI_RS,NDWI_RS,rain_RS,rain_anom_RS,rain_cml3_anom_RS,rain_cml6_anom_RS,rain_cml12_anom_RS,srad_RS,srad_anom_RS,vpd_RS,tavg_RS,tavg_anom_RS,SOC_RS,VegH_RS,x_coord,y_coord
2013-04-15,0.7815476266098909,86.81199096061108,87.59353858722096,59.212746464101045,8.611649708041316,0.18617807578955134,79.83464459419378,90.80000000000001,24.214720691108838,56.05107821154256,-12.774556561302624,66.38948427518511,338.84343851012034,519.1331013469852,2.261831611873773,0.6492828,1.0863005,9.814697,0.75254625,0.2255133,0.021940487,0.11243261,-1.5684633,8.897723,0.043149617,104.189835,0.94270563,0.9357724,0.85750467,0.90423673,8.7726555,0.96546316,4.568524,11.383161,0.9626035,7.237157,25.660976,146.65452,-43.09502
2013-05-15,3.536500505888304,51.82680754049727,55.36330804638557,30.077043353179896,6.486141688851109,0.23485924529247992,86.93732785059203,61.00000000000001,2.9005412009545535,27.552655903286368,-12.709588307657746,38.73186416567368,336.62977074472496,522.0221348001835,1.2655629743413073,0.622673,1.0802569,5.5590515,0.75254625,0.2255133,0.021940487,0.11243261,-3.906107,8.897723,0.046141233,94.89204,0.60585976,0.839186,0.8031729,0.8397518,6.2114944,1.0964115,3.2737172,9.465158,0.9951938,7.237157,25.660976,146.65452,-43.09502
2013-06-15,27.69069054921034,33.18392978056126,60.8746203297716,27.046294263161606,5.784783671339127,0.24895029540942168,87.07931442095904,58.400000000000006,-0.7988677902043678,25.602155711455755,-24.15483812075482,26.92531617724097,332.2399069949049,523.0421725237865,1.192167811054009,0.6131458,1.1173849,3.4987793,0.75254625,0.2255133,0.021940487,0.11243261,-4.271378,8.897723,0.05453126,107.41503,0.72691774,0.7387004,0.7837633,0.83310586,4.4201045,0.9866635,1.964014,7.7701573,1.02659,7.237157,25.660976,146.65452,-43.09502
2013-07-15,34.83238153259114,51.694775612135615,86.52715714472674,41.35568486622372,6.159132220035746,0.2791904613766815,84.03288240895048,141.0,0.6595433089583164,37.88467308384353,-24.22450404418739,29.222483278946235,331.3608822378305,520.3421516503155,1.5121922907446634,0.6327607,1.127442,4.147003,0.75254625,0.2255133,0.021940487,0.11243261,-3.9737453,8.897723,0.052392744,211.5351,1.1836214,0.8740875,0.89032096,0.9006616,5.121092,0.9947322,2.4106467,8.1207485,1.1433684,7.237157,25.660976,146.65452,-43.09502
2013-08-15,-8.632326118281377,79.59000644405367,70.95768032577229,57.575391397766296,5.107861561208269,0.29592783398295375,83.90392384119238,227.40000000000003,17.6411956740134,52.7430482129478,-25.333972721092596,49.2942475295248,329.11362625514795,516.4044300463213,1.4164758336172412,0.59291375,1.0094796,6.77652,0.75254625,0.2255133,0.021940487,0.11243261,-0.9826064,8.897723,0.05217189,301.50223,1.4553367,1.1744579,1.039029,0.9847238,7.196478,0.9410542,2.863083,7.759126,0.98369604,7.237157,25.660976,146.65452,-43.09502
2013-09-15,-8.152417928596352,145.08837398611212,136.93595605751577,68.15193410165296,7.742588816929039,0.28157812736261206,76.61651110604332,146.4,35.096373990276014,64.51295737338567,-7.426508351132626,81.56742912658348,331.07703370205434,516.4294595410496,2.4710113145372428,0.6332014,1.081178,6.817505,0.75254625,0.2255133,0.021940487,0.11243261,-3.6005087,8.897723,0.05881605,168.18843,0.90215045,1.1902899,1.0078143,0.9403649,11.007247,0.99379516,4.870118,10.418014,1.1000593,7.237157,25.660976,146.65452,-43.09502
2013-10-15,-56.72707005557824,203.98384848371768,147.25677842813946,92.31339813885413,7.764856438118129,0.2904777932011736,72.44777878201147,226.8,67.0726210470145,84.56546956148912,5.044548760597071,114.69796134746574,332.67951578309453,517.5639164948723,2.9159990946913825,0.59412336,1.045741,12.801941,0.75254625,0.2255133,0.021940487,0.11243261,2.1579762,8.897723,0.047177184,256.80432,1.8189777,1.3584899,1.1310204,1.0377611,14.318497,0.92732817,5.10102,10.643965,0.9555551,7.237157,25.660976,146.65452,-43.09502
2013-11-15,-31.082063085881366,216.13715336145415,185.05509027557278,70.74839349716319,9.326599495138888,0.25502038578509206,73.847314630919,52.60000000000001,98.42138860261123,66.97077865919738,32.29885922235192,153.06366292634237,339.9852120016478,519.5213974469942,3.07998954670705,0.5897437,1.048707,17.935028,0.75254625,0.2255133,0.021940487,0.11243261,5.771948,8.897723,0.04594161,105.16073,1.0465201,1.2383949,1.2030773,1.0551345,18.5163,0.9562586,5.4381156,12.16308,0.9140241,7.237157,25.660976,146.65452,-43.09502
2013-12-15,-46.17882352869856,301.8936734684863,255.7148499397878,99.76962012476085,11.579194951849628,0.21029379095389364,70.87335531981171,105.1382797925935,123.99246467186262,91.3958855802394,40.11612043674326,185.28423611419163,343.7343905211494,538.8079141294555,3.9935119292541756,0.57368517,1.0080366,17.854736,0.75254625,0.2255133,0.021940487,0.11243261,3.4231339,8.897723,0.033020474,125.98776,1.1335936,1.3830594,1.2638046,1.0654782,20.164701,0.9856826,7.2498403,14.4316025,0.97512066,7.237157,25.660976,146.65452,-43.09502
2014-01-15,-13.268717562799324,303.5326065890205,290.26388902622114,101.99492315535883,13.348712733198926,0.21701085248936158,77.84691484286293,66.20000000000002,119.82591297453966,93.43441735886667,48.593875835697865,197.93634087128362,343.212030112825,525.2768221177946,3.416968762352867,0.5811173,1.0185999,18.29956,0.75254625,0.2255133,0.021940487,0.11243261,1.9855938,8.897723,0.03267728,88.902405,1.0611395,1.0905526,1.2635521,1.0861688,22.940115,1.0908751,10.335456,16.313967,0.99800533,7.237157,25.660976,146.65452,-43.09502
