time,NEE_SOLO_EC,GPP_SOLO_EC,ER_SOLO_EC,Ta_EC,Sws_EC,RH_EC,Precip_EC,Fn_EC,Fe_EC,Fh_EC,Fsd_EC,Fld_EC,VPD_EC,lai_RS,LST_RS,EVI_RS,Fpar_RS,soil_moisture_RS,LST-Tair_RS,spei_RS,solar_RS,Ta_RS,VPD_RS,precip_RS,precip_cml_3_RS,precip_cml_6_RS,PFT_RS
2013-02-15 00:30:00,20.350459394449725,7.5953611105199865,27.94582050496971,25.810813492063495,0.07645358878968254,39.16299851190476,72.0,137.92643976104299,10.011124447440158,95.05789523071083,280.3337754104638,377.505832514881,20.672713561793785,0.2,319.81003,0.12488063309292194,13.870557587915018,,19.069874,-0.8434546,274.9628,26.244823,20.410511,36.087315,36.08731460571289,36.08731460571289,40.0
2013-03-15 00:30:00,11.096753456680105,18.6038447699978,29.700598226677908,22.071326635327235,0.09933254761193605,45.756993420573984,68.0,121.42183945577874,10.361112199859305,73.6515002199481,247.5188658841556,353.40966493738415,14.644876826125556,0.22500001,313.18427,0.12613085740328697,14.978853954026734,,17.040916,-0.6763449,237.50748,22.409035,14.049283,39.858944,75.94625854492188,75.94625854492188,40.0
2013-04-15 00:30:00,3.547394108916415,21.987595459117546,25.534989568033957,17.501168055555556,0.08956819212962963,51.49328009259259,8.0,79.7760778846929,11.424716100320634,48.65403322438809,178.83613015881411,332.3390958101852,9.807891387076296,0.16666667,303.56497,0.1265232430283283,17.304096625220375,,11.963579,-0.87827545,171.95988,17.911665,9.080367,10.269336,86.21559429168701,86.21559429168701,40.0
2013-05-15 00:30:00,10.264407207495768,16.510917666593603,26.77532487408937,12.62443234767025,0.10269986559139785,64.49647177419355,115.0,51.505449999582474,11.774611996729588,30.61727168368487,127.2033827094803,314.66563413978497,5.2194158111917845,0.125,295.6218,0.155262372862679,16.916152082247933,,10.294692,-0.56462234,120.04927,13.125321,4.6960373,56.71017,106.83845043182373,142.92576503753662,40.0
2013-06-15 00:30:00,11.496722417943445,29.836106706588975,41.332829124532424,9.448096662932358,0.24510289913634398,78.33536415347346,96.0,36.03063758772508,13.785056090251977,16.291735716614262,99.54378607862945,304.1863956818247,2.572602767919084,0.275,288.96,0.20984423140765943,26.844820285206534,,5.343277,-0.2649079,93.68056,10.008835,2.1331167,61.36203,128.34153652191162,204.2877950668335,40.0
2013-07-15 00:30:00,-6.525103549211382,44.78924779345229,38.26414424424092,10.293113719130615,0.22163592050498854,82.83778308528748,44.2,42.70246368704872,16.927531615625522,15.521902297386832,108.64008001606292,310.0254024520131,2.1580769476975856,0.4,288.49,0.3056170291490205,40.87979416609075,,5.32825,0.23908016,102.628426,10.5717745,2.6193962,41.166283,159.23848342895508,245.4540777206421,40.0
2013-08-15 00:30:00,-40.54895570071143,79.23598425609276,38.687028555381346,11.042517577285032,0.2183913408779034,80.57419905990115,36.6,68.26524864783848,27.872146415903835,17.82006806492269,142.5285073885164,314.1294479168283,2.569251268188282,0.82500005,290.66,0.35271669407825923,54.182363146887226,,5.5788155,0.19899821,135.04704,11.214031,3.3015862,35.46936,137.99767303466797,244.8361234664917,40.0
2013-09-15 00:30:00,-58.516870349121,90.70072733773867,32.18385698861767,15.145274746620935,0.1406398079867925,58.97208050917293,62.0,111.84908580241327,33.0123524396448,31.99402606313369,206.8244291457759,325.85221623517424,7.121435871009023,1.125,298.69287,0.35057837760707555,53.31703277986737,,9.445483,0.10499798,201.17284,15.648999,6.4167376,41.88962,118.52526473999023,246.86680126190186,40.0
2013-10-15 00:30:00,-3.201121685850639,31.658524324407598,28.457402638556957,16.61542361111111,0.08394144041218639,42.90419758064516,13.0,140.76116674144242,29.928413019726303,75.61689803167805,269.944924303181,318.44188653673837,10.903929285189934,0.6333333,309.28824,0.2189856445598864,35.07043072182622,,18.659147,0.11501146,259.5766,16.640322,9.141583,17.117817,94.47679901123047,253.71528244018555,40.0
2013-11-15 00:30:00,25.251448844859752,6.2929935907963825,31.544442435656133,19.62442777777778,0.10091184027777778,39.8378087962963,51.0,167.58824913957267,24.33986570832377,95.28922724145414,318.5338002079838,334.19394180555554,13.929105067300686,0.375,313.4325,0.156043561382196,18.639132050594583,,19.175005,-0.268577,298.59952,19.717329,12.635474,27.578495,86.58593368530273,224.5836067199707,40.0
2013-12-15 00:30:00,34.155023585890305,0.5983722741572564,34.75339586004756,23.97056765232975,0.10079497759856632,35.44382168458782,65.0,175.9817514415354,29.005305072085857,101.68597534193069,334.93079253218417,355.53199451164875,19.603153465916876,0.2,319.90002,0.12589990245747024,13.71473181526146,,22.339235,-0.5265512,330.66382,24.07968,18.41264,33.62654,78.3228530883789,196.84811782836914,40.0
