time,NEE_SOLO_EC,GPP_SOLO_EC,ER_SOLO_EC,Ta_EC,Sws_EC,RH_EC,Precip_EC,Fn_EC,Fe_EC,Fh_EC,Fsd_EC,Fld_EC,VPD_EC,LAI_RS,EVI_RS,LST_RS,Fpar_RS,LST-Tair_RS,AI_RS,solar_RS,Ta_RS,VPD_RS,precip_RS,precip_cml_3_RS,PFT_RS
2013-09-15 00:30:00,-50.92989874749639,182.19055184170765,131.26065309421125,15.829529856944443,0.2678958661915519,76.79759630462976,0.0,137.94545938208677,91.28554319894737,37.808162944710375,255.47625791563195,362.77006660783843,4.210995255089501,5.721822,0.5190526,299.1287,86.49243305343671,4.8178673,1.590980227412908,271.1921,21.160831,7.433672,44.114075,110.12393,10.0
2013-10-15 00:30:00,-45.36271078273373,213.69706308671928,168.33435230398555,17.776347892154767,0.24145758662608932,78.38014122164638,0.0,159.91733161651294,79.80645730382655,59.46335520629943,272.7821305368903,373.6884721609572,4.449375145636302,5.615234,0.54003716,299.81134,84.87313318677154,3.2994099,1.590980227412908,290.2591,23.361937,9.685108,40.361935,100.64671,10.0
2013-11-15 00:30:00,-6.081891386504928,190.4038507594937,184.32195937298877,18.855067487269107,0.2622064876518173,84.48389254583091,141.399999,140.73657702996786,80.57666545227859,42.87618213737465,231.9367711555667,391.2547198192493,3.4210999996685056,4.5912986,0.5772155,300.419,72.0314095468355,2.5080128,1.590980227412908,239.7955,24.761,9.119188,194.44965,278.92566,10.0
2013-12-15 00:30:00,-42.7052171628742,228.99948660686465,186.29426944399046,18.85261210080645,0.27821501553787986,81.34822725032696,117.4,161.8404242503923,100.48542917349175,43.643802976377195,223.91585507370363,385.4182933314932,4.111830605105005,5.302391,0.45010126,300.98087,81.33020335975576,3.1787739,1.590980227412908,280.73477,24.652098,9.604229,30.009567,264.82117,10.0
2014-01-15 00:30:00,-2.3649774238593118,209.97112722941603,207.6061498055567,20.998683543010753,0.2866869115049048,85.59277603768714,301.6,166.8324320739926,103.38340513738673,26.730449408567832,214.9400461601062,407.7539471676969,3.637485578009245,4.1600657,0.52697957,301.13556,71.47784764313123,2.2241154,1.590980227412908,230.12247,25.76145,8.898027,217.5426,442.00183,10.0
2014-02-15 00:30:00,1.98814859177907,200.21110389469436,202.19925248647345,21.26986366666667,0.31373595227990086,59.54644881528949,613.5999989999999,133.41487923108832,132.37928866313322,8.400299352543536,166.99980472911236,413.6255536816941,10.388668711423996,1.1480415,0.45673335,300.5123,25.919199726628065,2.5603447,1.590980227412908,181.39879,24.80196,6.37249,381.75732,629.3095,10.0
2014-03-15 00:30:00,-0.9590221120003175,212.14378866884647,211.1847665568461,21.358686369623655,0.3131344666849541,10.10070197514151,296.4,116.52117457436314,94.31095817455484,12.319870601584405,155.7800548873387,402.8427864024243,23.21531538866436,2.5599763,0.47615072,299.91595,47.13299081812518,2.6524124,1.590980227412908,191.1589,24.113548,6.207327,297.9845,897.2844,10.0
2014-04-15 00:30:00,5.87041215902102,186.18550566578432,192.05591782480536,20.69647014722222,0.30145768997023054,1.2573261827926694,597.599998,111.13572168980022,81.36110304267628,13.188253742493004,151.5832256342107,398.0898259684644,24.461478878875244,3.4213984,0.4906393,295.1013,64.29120674921977,-1.6393719,1.590980227412908,207.58487,23.590666,5.840996,329.0407,1008.78253,10.0
2014-05-15 00:30:00,-20.598665282924895,174.91813285079695,154.31946756787204,18.134138315860216,0.2955665870473556,1.165451695576563,187.00000000000003,105.42833113996012,112.22964707266964,6.34099033815195,146.81109282102082,382.43876282366085,20.81176940557405,3.5746737,0.4216793,295.75806,64.34956885409632,1.5390339,1.590980227412908,184.31154,21.069029,5.1260796,90.92154,717.9468,10.0
2014-06-15 00:30:00,-8.107479015214512,136.28766357623743,128.18018456102294,16.57884945416667,0.3247895425486908,2.065373825541437,138.8,74.01273609232747,87.08400639485974,6.537020146569318,107.36797749832152,376.9990374719258,18.658985350853637,3.2797875,0.4812298,292.80258,55.84752399688847,0.3187542,1.590980227412908,143.59955,19.333834,4.127657,113.66139,533.62366,10.0
2014-07-15 00:30:00,-55.283287145245,154.5792954531879,99.29600830794291,14.787733489919356,0.2734996828835355,1.0575330089525736,81.4,108.43645721204423,84.40186210262016,19.609242725821296,164.7428850088743,351.3878386964655,16.777070856928624,4.3763485,0.47018144,292.6149,75.2778633408905,1.6894207,1.590980227412908,199.46982,17.775484,4.5563164,33.783676,238.36661,10.0
2014-08-15 00:30:00,-57.667456557187336,165.52267209759017,107.85521554040284,15.63726842204301,0.2959694874916608,1.0875437423226175,81.60000000000001,114.42186622658939,82.12691183443499,20.514184363203785,168.0212573054953,359.3513229683724,17.72846921603103,4.085589,0.4726423,294.13623,68.90800414403158,2.0839748,1.590980227412908,204.99924,18.902262,5.261791,22.435497,169.88057,10.0
2014-09-15 00:30:00,-68.10220741233209,189.66965312430926,121.56744571197716,17.129604672916667,0.24594617987569453,1.0942928210831784,4.4,186.6331873482685,77.51502882064972,56.12270434498344,268.075852384125,352.3877931587095,19.52595334346993,5.820949,0.57508224,296.9855,88.11604682139948,3.2775078,1.590980227412908,292.93985,20.558002,7.765835,14.367021,70.5862,10.0
2014-10-15 00:30:00,-52.053308440194485,192.45073826810733,140.39742982791284,18.53229383870968,0.18698364155345362,0.960796509873681,11.4,209.9543811722675,77.71792696018746,69.40341278725276,299.52211344926747,356.435311185948,21.392211549952428,5.9675264,0.49824798,299.6973,86.57385517707914,4.35553,1.590980227412908,311.26413,22.191772,10.220249,25.507751,62.31027,10.0
