time,NEE_SOLO_EC,GPP_SOLO_EC,ER_SOLO_EC,ET_EC,Ta_EC,Sws_EC,RH_EC,Precip_EC,Fn_EC,Fe_EC,Fh_EC,Fsd_EC,Fld_EC,CO2_EC,VPD_EC,kNDVI_RS,kNDVI_anom_RS,LST_RS,trees_RS,grass_RS,bare_RS,C4_grass_RS,LST-Tair_RS,TWI_RS,NDWI_RS,rain_RS,rain_anom_RS,rain_cml3_anom_RS,rain_cml6_anom_RS,rain_cml12_anom_RS,srad_RS,srad_anom_RS,vpd_RS,tavg_RS,tavg_anom_RS,SOC_RS,VegH_RS,x_coord,y_coord
2012-01-15,-17.65727493958861,129.8458039527934,112.18852901320479,62.196586386538165,22.585355104838712,0.19657936419350325,62.5200299004428,56.983228825089455,198.68830734308244,56.97638304883886,124.35821881132745,319.35081218595684,355.78135793010756,362.65788750769855,10.447720909710176,0.20072205,1.0438116,36.889008,0.4474413,0.2603732,0.2921855,0.13560729,13.976124,9.912368,-0.10376997,40.286224,1.0197943,1.0869545,1.0833917,1.2169521,26.350012,0.976895,20.859764,22.912884,0.990186,3.0295823,11.430187,145.0294,-36.6732
2012-02-15,-2.625455267133651,109.52267696022773,106.89722169309407,62.83429728743372,21.60726541666667,0.20648828251073245,71.7112036564834,83.21309496573458,154.35320989573748,61.53026493632157,80.60322480517478,258.12441303855445,356.9284690373563,367.0425126022422,7.419655630836391,0.22306818,1.0329542,32.27643,0.4474413,0.2603732,0.2921855,0.13560729,10.441586,9.912368,-0.06602684,83.10831,2.4356933,1.3169955,1.2120125,1.1166757,23.49757,0.97182214,16.326427,21.834843,0.98074675,3.0295823,11.430187,145.0294,-36.6732
2012-03-15,-9.090072865471097,119.67597448334074,110.58590161786964,69.29270038634638,18.16221482997312,0.26240473711783047,79.31866540358588,125.61438804696435,120.46318667005772,63.47691519860346,47.64593588549388,213.1630259518711,340.47039966397847,369.4560270087463,4.362735293171923,0.31790876,1.289799,24.532104,0.4474413,0.2603732,0.2921855,0.13560729,6.6136665,9.912368,-0.041425247,123.06851,3.4039617,2.245068,1.5597564,1.2380148,18.107878,0.9257665,9.442482,17.918438,0.9072025,3.0295823,11.430187,145.0294,-36.6732
2012-04-15,-15.411589970729752,106.02964511882254,90.6180551480928,42.99000752384339,15.897759627083332,0.20809550126497117,81.46213141218618,38.4,74.29263537202777,40.69455341840361,35.183520493087,162.1463819132639,324.29265930555556,370.2651075687773,3.3793826812488827,0.35940596,1.2091284,20.145874,0.4474413,0.2603732,0.2921855,0.13560729,5.127898,9.912368,-0.055078305,22.972084,0.57408035,2.077676,1.5188783,1.1799093,14.240521,1.011356,9.04913,15.017976,0.961649,3.0295823,11.430187,145.0294,-36.6732
2012-05-15,-20.63367155533608,88.45028770717163,67.81661615183555,28.545852524868604,11.46813434576613,0.21854607983722643,87.82708672922713,19.4,35.29675606223783,26.14997900052927,15.326734761103404,108.37694297971065,308.60043335674567,369.301761027539,1.6566393916920494,0.3810918,1.0365626,13.668396,0.4474413,0.2603732,0.2921855,0.13560729,3.1819553,9.912368,-0.030816901,23.526123,0.6057414,1.4743838,1.3718187,1.1784639,9.760303,1.0362083,5.077435,10.486441,0.90845203,3.0295823,11.430187,145.0294,-36.6732
2012-06-15,-6.50257356492248,65.90471183306764,59.40213826814516,24.28048491160779,9.547722092777779,0.255664857575256,83.82392631626445,35.2,17.37141612059236,22.984026920957124,3.7783220090466583,79.0335908439354,306.23838034722223,368.23232211174644,1.933902445475285,0.426342,1.0392838,10.620026,0.4474413,0.2603732,0.2921855,0.13560729,2.1816444,9.912368,-0.031041883,46.693096,0.95293456,0.72889245,1.4293228,1.2272367,7.596273,1.0362433,3.2598724,8.438381,0.94607157,3.0295823,11.430187,145.0294,-36.6732
2012-07-15,-8.538513547080587,68.60383751914858,60.065323972067986,34.047381791351704,9.317094791289254,0.27528332653505505,80.59848503917267,45.4,29.767454976437236,31.189761037657007,5.892156943746987,85.50909250141429,311.97436650531904,386.5796469081675,2.283430235724081,0.42685658,1.0048665,9.625275,0.4474413,0.2603732,0.2921855,0.13560729,1.2969818,9.912368,-0.011100858,52.798378,1.024176,0.886053,1.421974,1.2424377,7.759616,1.0091031,2.846971,8.328293,0.9988275,3.0295823,11.430187,145.0294,-36.6732
2012-08-15,-38.80849873898603,94.51105770870527,55.702558969719234,42.05918148316957,9.424770045026882,0.26823951206820945,75.82376255270061,35.6,54.884053704940854,38.52912473383544,16.289606615471058,119.95736160561962,308.2647860887097,383.6891343748864,2.866298033393965,0.41137666,1.0134056,13.146881,0.4474413,0.2603732,0.2921855,0.13560729,4.3680115,9.912368,-0.03891542,40.08721,0.8788616,0.95631915,1.1998125,1.1893407,10.408934,0.96269244,3.9124136,8.77887,0.95702666,3.0295823,11.430187,145.0294,-36.6732
2012-09-15,-44.11365152025077,108.4073197166013,64.29366819635054,41.99896532752844,12.434891575555556,0.25299745518196787,70.38353937354452,9.2,90.89161454654115,39.75642798133633,43.473240702016746,173.54714046199237,312.67075055555557,382.99162347890524,4.299401869005317,0.37974727,1.0651153,20.167297,0.4474413,0.2603732,0.2921855,0.13560729,8.519597,9.912368,-0.029440068,17.098387,0.44819364,0.812804,0.7810428,1.1390067,15.825305,1.0019336,6.8440533,11.6477,1.0111653,3.0295823,11.430187,145.0294,-36.6732
2012-10-15,-54.285553364351586,130.63733621841047,76.35178285405888,48.166848637635724,14.996876521974881,0.23369357961740705,59.89340813928881,30.828308991751648,136.94511905854444,44.12417107874216,73.97353987210094,240.7775653274047,315.22083549356273,382.00239266018497,6.8943317317983555,0.28552955,0.9996828,22.366974,0.4474413,0.2603732,0.2921855,0.13560729,8.4703665,9.912368,-0.055438872,24.848661,0.7707157,0.7071723,0.8046268,1.146626,21.57197,1.0199664,10.661144,13.896607,0.9436019,3.0295823,11.430187,145.0294,-36.6732
