time,NEE_SOLO_EC,GPP_SOLO_EC,ER_SOLO_EC,Ta_EC,Sws_EC,RH_EC,Precip_EC,Fn_EC,Fe_EC,Fh_EC,Fsd_EC,Fld_EC,VPD_EC,lai_RS,LST_RS,EVI_RS,Fpar_RS,soil_moisture_RS,LST-Tair_RS,spei_RS,solar_RS,Ta_RS,VPD_RS,precip_RS,precip_cml_3_RS,precip_cml_6_RS,PFT_RS
2014-05-15 00:30:00,-27.94713491536356,120.67621745910921,92.72908254374566,16.107163746639785,0.0875332419419092,67.87149325195998,3.2,70.80910475194894,36.00839459865889,22.162716734328427,137.3801212241465,338.9081899193548,5.9370802795340065,1.1,296.52234,0.34980618904969274,61.73189526397309,,7.385557,-0.8099451,130.68996,15.809999,5.5620556,17.641914,234.02053833007812,355.983097076416,10.0
2014-06-15 00:30:00,-34.70158482761386,102.80659567006049,68.10501084244662,13.600533612500001,0.09788497977881995,69.33541745486748,26.800000000000004,48.84130779371528,41.40594095656251,6.769756016933376,109.53385581040973,328.28124881944444,4.809175170245802,1.225,292.26334,0.3331321538813188,60.1925671816142,,5.7092495,-0.74749774,98.981476,12.951334,4.412036,32.74882,116.9022331237793,388.73191833496094,10.0
2014-07-15 00:30:00,-47.504053343328515,97.56812991223063,50.064076568902124,12.084814469959676,0.08748578390091799,62.874369105197594,15.6,55.05115548528629,30.558546457700235,17.326625390463576,127.1715926887258,310.033320967742,5.26521943821461,0.96666664,294.00873,0.30268991787214805,50.39818139267503,,8.937357,-0.5582711,119.94474,11.295645,4.6717663,14.554781,64.94551658630371,360.5423107147217,10.0
2014-08-15 00:30:00,-31.527125197786113,98.7467967794161,67.21967158162998,12.784336378360214,0.13824361686621056,69.16419576879849,107.00000000000001,81.79689614259006,44.195169401997504,26.234625128826558,140.9885327963441,330.16297909946235,4.581623094156269,1.075,295.46426,0.31576108916683565,46.066716480601194,,9.74862,0.32925758,133.5312,12.433387,3.9425812,86.50057,133.80417442321777,367.8247127532959,10.0
2014-09-15 00:30:00,-36.98370382869374,123.941063325808,86.95735949711425,16.201987782638888,0.12117238158447774,62.14203992630689,21.800000000000004,131.8098533474389,53.824756008501105,51.4856800799749,206.65495311168053,340.7102449305555,7.038994683892586,1.325,302.09335,0.3331282571757325,51.358029873950244,,11.641032,-0.33845314,203.4915,15.5876665,6.234292,27.662403,128.7177562713623,245.6199893951416,10.0
2014-10-15 00:30:00,-9.694344726865427,132.69690286461315,123.00255813774776,19.6909041446914,0.11369952696552396,58.94138675236096,57.0,172.65620405139128,53.592651629677654,78.6888746581103,257.5007696875387,357.960004188729,9.546228451957832,1.5333333,307.13376,0.34278995890389174,53.67657527987971,,12.5381565,-0.63691896,249.05916,19.80242,9.831374,58.434307,172.59728240966797,237.54279899597168,10.0
2014-11-15 00:30:00,16.624944789899292,105.69050624783613,122.31545103773541,21.96773307361111,0.08501993265409734,62.35353516983406,49.8,196.35653233729167,58.34853126723786,99.13222493800761,278.9167824846528,379.5243560416666,10.098641763122336,1.3,310.63464,0.2951497189053427,44.73176715651571,,12.654821,-0.84609205,269.55627,22.8995,12.679423,47.477478,133.57418823242188,267.37836265563965,10.0
2014-12-15 00:30:00,38.91902106646819,122.58898388043775,161.50800494690594,22.39015611170901,0.20729275346048306,70.50949176313007,195.39999999999998,196.7099381746091,88.34516613974941,71.53452550476625,261.16620414776,394.9066146809311,8.121557012782503,1.6499999,308.61334,0.3605613201250157,49.168099808646055,,9.466738,0.42531586,246.34854,23.634031,11.267263,173.54251,279.45429611206055,408.17205238342285,10.0
2015-01-15 00:30:00,37.602832006579675,131.67519063307589,169.27802263965555,23.805113588709677,0.14731008586130304,70.65371566778673,157.2,199.28996683142003,99.18595736170755,72.64205874822883,265.23979218369624,402.6710750672043,8.8210502054902,2.125,310.22122,0.41622334703540537,63.32038638028034,,11.864727,1.0594043,258.5835,24.651936,11.182011,150.16365,371.1836395263672,543.7809219360352,10.0
2015-02-15 00:30:00,20.58876191229496,128.39576750036167,148.98452941265663,22.652172671130952,0.1773416887340811,75.37578352192365,81.19999999999999,162.43477566140177,93.50955777770558,44.50587089036278,216.24917748806547,400.7994404017857,6.8926382149073335,1.675,307.07428,0.4217467797378681,58.863732067371416,,10.084713,0.29945362,213.98396,23.419285,8.697432,87.16409,410.87025451660156,544.4444427490234,10.0
2015-03-15 00:30:00,-7.092683379305214,143.5008835750206,136.40820019571538,21.36611509408602,0.09857354028499818,69.68540400699885,3.0000000000000004,137.05140832393883,66.70641926168221,47.29601123925937,199.89685884222513,382.8722143817204,7.831987565105888,1.8,305.77335,0.41452848261085373,59.10688387346719,,9.893293,0.0040160986,195.39273,21.975481,9.3798485,53.923744,291.2514877319336,570.7057838439941,10.0
2015-04-15 00:30:00,5.09843835510128,133.5404189209808,138.6388572760821,17.769572793476332,0.2629227816074167,76.89370885721685,288.19999999999993,94.30129044178555,74.96927489144102,14.333568629605189,139.89585906342205,371.763641696939,4.753217498203775,1.3333334,296.542,0.38130334200439064,62.550590776275186,0.1862881,5.6199665,1.7274654,133.37578,18.073668,5.314864,290.91913,432.00696563720703,803.1906051635742,10.0
2015-05-15 00:30:00,-23.751404223303826,121.7976039629248,98.04619973962096,15.116196760752688,0.23746849186620675,71.21218565011957,54.0,61.36138574910906,46.23866089220844,6.876749952618382,119.29697998984543,341.5229305107527,4.987373033165569,1.4,294.70178,0.36995419978867394,63.17330035174702,0.18155542,5.8469486,2.2494688,119.3511,14.652258,4.6978474,68.65119,413.4940643310547,824.3643188476562,10.0
2015-06-15 00:30:00,-34.43528327324691,102.69906615626593,68.263782883019,12.021242088888888,0.20807154183120155,78.22351470802052,66.60000000000001,51.09188638755694,33.34062630329807,11.306482666948428,105.88200045019443,326.6342091666666,3.0753020616832427,0.92499995,290.52136,0.3277032497829317,57.7392515205418,0.16824022,4.9861927,1.9745091,99.89584,12.181166,3.6909294,59.392174,418.9624938964844,710.213981628418,10.0
2015-07-15 00:30:00,-38.66481028590158,101.90809979665737,63.24328951075579,10.777282325127688,0.24295761750547107,70.39141854925333,27.4,58.00372428457863,40.5476352186595,11.009674136071183,121.52028887803966,312.6925774193548,3.846762642202119,1.2333333,291.15887,0.33291735840563197,53.678871087215946,0.17901924,7.1589155,1.6039778,117.20803,10.259999,3.6297092,27.95949,156.00285530090332,588.0098209381104,10.0
2015-08-15 00:30:00,-54.46533234479098,117.66417151958072,63.19883917478975,13.100770562096772,0.13657928149304976,63.98118331478526,28.4,86.06658482896506,46.04532470879791,25.26867487121834,159.15678133087903,318.8606180107527,5.465229029303539,1.1666667,293.61365,0.33580315019028906,55.29866533218258,0.1575261,7.8363695,2.3073277,143.81348,12.584193,4.851203,43.971146,131.32280921936035,544.816873550415,10.0
