time,NEE_SOLO_EC,GPP_SOLO_EC,ER_SOLO_EC,ET_EC,Ta_EC,Sws_EC,RH_EC,Precip_EC,Fn_EC,Fe_EC,Fh_EC,Fsd_EC,Fld_EC,CO2_EC,VPD_EC,LAI_anom_RS,kNDVI_anom_RS,FPAR_RS,LST_RS,tree_cover_RS,nontree_cover_RS,nonveg_cover_RS,LST-Tair_RS,TWI_RS,NDWI_RS,rain_anom_RS,rain_cml3_anom_RS,rain_cml6_anom_RS,rain_cml12_anom_RS,srad_anom_RS,vpd_RS,tavg_anom_RS,SOC_RS,CO2_RS,x_coord,y_coord,Fluxcom_RS-Meteo_NEE,Fluxcom_RS_NEE,ThisStudy_NEE,Cable_NEE,Fluxcom_RS_GPP,Fluxcom_RS-meteo_GPP,ThisStudy_GPP,Cable_GPP,MODIS_GPP,GOSIF_GPP
2009-02-15,-7.2344878129777825,157.64858375902236,113.9898258421208,113.9898258421208,26.074931512673412,0.343437205134846,94.58619565876272,5.099999999999984,121.4087695826147,115.610712915934,8.576318650997237,181.82354249999997,442.73873574089487,387.93330763354794,1.8693594485003828,0.77038366,1.0507712,58.71409,29.696655,64.97094,30.545322,4.970476,2.6847496,7.6650515,0.047764413,1.183489,1.3565905,1.2927423,1.1643503,0.9539099,8.956842,0.98617077,5.110325,383.918,145.42715,-16.238189,-52.46968,,-43.51403,,,247.53865,148.75008,,93.127174,255.5401
2009-03-15,-55.947207243164605,178.9286047487877,126.70064367872945,126.70064367872945,25.409476113054296,0.3201972033045374,89.32722032073211,20.0,127.7760994939488,116.06656934368674,5.663388425138457,159.2814372960499,427.1363332702379,376.11988837197856,3.539213698048069,1.0751246,1.0470946,68.98314,27.254425,64.97094,30.545322,4.970476,1.0239811,7.6650515,0.05226819,0.23838928,1.0332836,0.9743765,0.8725961,1.0892421,11.465162,0.993967,5.110325,383.587,145.42715,-16.238189,-52.562653,,-49.233074,,,233.8503,155.77486,,137.45691,278.14008
2009-04-15,-68.23541432921093,119.13360055462184,101.57294721625901,101.57294721625901,24.586084756813822,0.30042380157641474,88.17113753854431,301.79999999999995,95.76257951879879,96.14945342971184,5.573074096436328,116.67132325854651,419.6148651377219,376.6488849486913,3.7302217159482685,1.0188932,0.9429765,65.73337,26.678345,64.97094,30.545322,4.970476,1.3120289,7.6650515,0.049821854,0.9065304,0.7106784,0.9506852,0.9352619,1.0835137,11.698458,1.0131538,5.110325,383.492,145.42715,-16.238189,-41.39019,,-53.904907,,,198.53206,139.45483,,96.94529,239.05585
2009-05-15,-86.31344763891504,133.7499804933585,99.40421144321083,99.40421144321083,22.82062042029781,0.31104921635229515,88.51976646955958,194.14999999999998,73.28851441671917,91.06114590690788,1.1832593829371936,124.2047792279599,412.2162072874853,378.00445679847826,3.2472060595100243,1.039558,1.0149403,65.34502,24.220032,64.97094,30.545322,4.970476,1.4057293,7.6650515,0.050796863,1.0269516,0.53899586,0.9746671,0.95261216,1.0025457,9.534056,0.9804916,5.110325,383.719,145.42715,-16.238189,-33.955143,,-56.3952,,,164.16226,138.69617,,83.57382,241.18591
2009-06-15,-43.49169200383722,129.37828095548258,80.01583715874165,80.01583715874165,22.35442985020283,0.2897711928052155,89.60784943463254,29.900000000000002,90.35801971028536,75.74338659440143,6.097822008608525,116.86139551963457,402.0560538176069,371.06191850039346,2.8556043761433436,1.2937896,0.9665499,87.576866,23.117126,64.97094,30.545322,4.970476,0.840189,7.6650515,0.053834256,0.25470167,0.8410987,0.9850378,0.9412587,1.1022824,10.312454,1.0182638,5.110325,384.007,145.42715,-16.238189,-31.876728,,-56.1138,,,143.51575,154.80507,,133.54501,221.34262
2009-07-15,-58.31367039409556,120.91793012620906,81.00744563531687,81.00744563531687,21.80058406378618,0.2720765989102705,89.22111354083046,77.08846153846154,77.51277321390114,74.20843362112211,2.275704492710213,103.19628475627725,393.106229473955,372.1485102939733,2.861445765632433,1.057695,0.99129826,82.737656,23.701813,64.97094,30.545322,4.970476,2.7056236,7.6650515,0.053573884,0.3311097,0.6552514,0.70125157,0.9230733,1.116218,11.732248,0.99225175,5.110325,384.409,145.42715,-16.238189,-32.136387,,-61.93263,,,140.63048,150.2934,,121.15907,238.04935
2009-08-15,-69.4253756439331,155.52790319761698,81.65179535481239,81.65179535481239,22.13314097498791,0.26558817654163863,89.74464750530126,25.4,118.32416602414493,74.79870261445926,24.2624672378614,164.9868153021041,395.2595782254588,367.8306462416602,2.7794847651950088,1.0766089,0.9743574,81.4342,25.350006,64.97094,30.545322,4.970476,3.076168,7.6650515,0.040687893,0.43164998,0.32368216,0.5061726,0.9259586,1.0453829,12.976203,1.0264819,5.110325,384.874,145.42715,-16.238189,-35.95764,,-51.30482,,,148.19048,159.62991,,168.38974,256.70197
2009-09-15,-55.819973106046746,169.05756157611395,72.67157310903114,72.67157310903114,23.4909947488575,0.23421212408687378,83.69541287929404,10.400000000000002,138.20828412765138,68.79126997697485,38.14493537092619,162.26743432069583,403.42569891093,360.6383734858104,4.806955541090267,1.1484581,0.9309718,87.99215,26.74768,64.97094,30.545322,4.970476,2.499422,7.6650515,0.040985115,0.24605022,0.33745125,0.72761315,0.9095336,1.0522306,16.460054,1.0313835,5.110325,385.097,145.42715,-16.238189,-37.783577,,-60.964485,,,154.43715,177.20683,,137.89143,263.51456
2009-10-15,-42.42874948694316,171.24283029963496,78.99015529510035,78.99015529510035,23.986582907756173,0.22952407684290999,72.57784391997049,33.0,140.8297902543021,72.36045588114479,42.74598205453581,180.1108106800358,405.38653190594255,347.3087249986266,8.335226274416977,1.0555105,0.9063394,83.964615,28.253754,64.97094,30.545322,4.970476,3.1159573,7.6650515,0.024562541,0.44434407,0.38918978,0.557506,0.8841541,1.0276436,18.02895,0.991273,5.110325,385.221,145.42715,-16.238189,-46.607372,,-58.226246,,,165.31935,167.67787,,154.89891,302.1096
2009-11-15,-24.994005446420275,150.8834934869556,90.05979064619382,90.05979064619382,24.61772227510648,0.2815812024205191,87.0990222012662,212.39999999999998,120.66383510647445,85.25104256539396,14.914874689290382,183.49434471481015,415.36331696377067,369.50126360541697,4.076201069418061,0.98274326,0.9970074,74.25954,27.726501,64.97094,30.545322,4.970476,1.7296658,7.6650515,0.032496274,2.1465104,1.2273686,0.8192747,0.94751036,0.9508381,15.345595,0.9692743,5.110325,385.197,145.42715,-16.238189,-54.718285,,-49.9093,,,188.61899,152.81586,,177.87825,318.05786
