time,NEE_SOLO_EC,GPP_SOLO_EC,ER_SOLO_EC,ET_EC,Ta_EC,Sws_EC,RH_EC,Precip_EC,Fn_EC,Fe_EC,Fh_EC,Fsd_EC,Fld_EC,CO2_EC,VPD_EC,LAI_anom_RS,kNDVI_anom_RS,FPAR_RS,LST_RS,tree_cover_RS,nontree_cover_RS,nonveg_cover_RS,LST-Tair_RS,TWI_RS,NDWI_RS,rain_anom_RS,rain_cml3_anom_RS,rain_cml6_anom_RS,rain_cml12_anom_RS,srad_anom_RS,vpd_RS,tavg_anom_RS,SOC_RS,CO2_RS,x_coord,y_coord
2008-01-15 00:30:00,-41.09794529047669,192.49603672255606,122.20863294844527,122.20863294844527,27.335162416430375,0.06552244539650538,87.93441618888467,324.79999999999995,190.39002070172012,111.9515762404067,41.873109145838455,293.0508426586425,425.9106060483871,365.6790846495475,4.495543453871392,1.1058352,0.94868064,51.04063,38.57498,8.572342,73.18139,19.24627,9.196791,10.0,-0.0802743,0.95257205,1.0346155,1.0482731,1.0062013,1.0720414,13.954622,1.0010581,0.80259156,381.772,131.3881,-14.1592
2008-02-15 00:30:00,-0.9684300988042587,177.22629616386,94.69274739929234,94.69274739929234,26.15447998047869,0.08909558401580461,94.7331452484515,536.9,102.02121905973418,92.72754031725083,27.50249119893125,224.6522653671329,435.29945725574714,373.4722444507118,1.8274084028633388,0.39286786,0.9002509,23.16265,39.20999,8.572342,73.18139,19.24627,11.012903,10.0,-0.07739646,1.8993708,1.3769274,1.2912105,1.3488569,0.8455627,8.248523,0.96843636,0.80259156,381.851,131.3881,-14.1592
2008-03-15 00:30:00,18.40847938087456,151.69521717152264,125.34968389694716,125.34968389694716,26.77693747251719,0.07572197233031282,85.80762120360507,283.70000000000005,158.6883396858635,114.8289965686789,56.157648760772766,306.3435935551407,414.8799853252203,369.9963279211509,5.113126282505096,0.869537,0.8821499,48.317116,37.026,8.572342,73.18139,19.24627,8.30098,10.0,-0.10156883,1.3561038,1.3895471,1.2981037,1.2515256,0.99188983,15.19731,0.9823716,0.80259156,381.855,131.3881,-14.1592
2008-04-15 00:30:00,11.40268191914431,102.67477582442525,96.52449848853786,96.52449848853786,25.55214786915092,0.042260162620725954,58.14570508075311,39.8,142.85862465305837,91.37056693344,60.335705193029256,331.13759150144597,359.37245743143393,377.31544606010783,14.000414632125597,0.7657218,0.7792624,43.283913,39.379974,8.572342,73.18139,19.24627,13.239054,10.0,-0.15794758,0.028632637,1.5254726,1.2515748,1.2520742,1.0868541,24.149141,0.9266925,0.80259156,381.952,131.3881,-14.1592
2008-05-15 00:30:00,-2.215172119622144,97.41589284412802,70.41336780669707,70.41336780669707,23.749218167876574,0.030848210223195293,45.42449392163113,0.0,105.81233092089064,64.50352421240738,53.037370867540545,287.849538565915,329.2768664772183,368.25498916248694,16.34821337222485,0.8164887,0.76268786,40.06573,36.85504,8.572342,73.18139,19.24627,12.973831,10.0,-0.18132555,0.0,1.0740734,1.2941235,1.2492864,1.0647279,24.080744,0.9271211,0.80259156,382.22,131.3881,-14.1592
2008-06-15 00:30:00,-9.033655036873935,80.97474170002646,64.43929335714496,64.43929335714496,23.26796893673217,0.025598433304833534,46.93792477283296,0.0,110.70543685650918,60.99855331060605,52.34477995333566,260.5034698051518,342.87950796060716,337.23662944690875,15.429959654639415,0.8788345,0.7920853,38.589497,35.75821,8.572342,73.18139,19.24627,12.118158,10.0,-0.18229413,0.0,0.024723638,1.3017796,1.2465013,0.98962545,21.863333,1.0138563,0.80259156,382.719,131.3881,-14.1592
2008-07-15 00:30:00,-5.534247974273226,78.40522312200548,57.56996547082955,57.56996547082955,22.192017449043522,0.03030618207240724,37.99931354039371,0.2,91.80093549093331,52.73807768788358,55.38701976869854,282.5949886178038,306.36383201401156,342.6178708995481,16.86560152380909,0.88480324,0.812486,37.940655,37.177216,8.572342,73.18139,19.24627,14.894676,10.0,-0.17971988,0.0,0.0,1.5039834,1.2465014,1.0231421,23.710907,0.95529664,0.80259156,383.063,131.3881,-14.1592
2008-08-15 00:30:00,-3.0763226733325926,65.48759026999748,45.953663125567886,45.953663125567886,24.04263503360215,0.029201770255376343,34.04007069251648,0.0,98.21879949435483,42.09673978677321,70.81971959287485,306.6926797565739,332.5658256211753,376.711147302107,20.11835276650416,0.9006381,0.8464965,37.080452,38.782837,8.572342,73.18139,19.24627,14.376825,10.0,-0.17318058,0.031259537,0.025721122,1.0667069,1.2342219,0.9828312,26.22205,0.99334705,0.80259156,383.425,131.3881,-14.1592
2008-09-15 00:30:00,-13.026144565941767,69.74538801343022,48.013209308966424,48.013209308966424,28.560586826388892,0.02770899309722222,46.461959099589976,11.0,126.16288041943561,45.449541034135805,85.32655634484668,331.60504217953957,389.98712774992885,369.103016281164,21.466559887482514,0.90932214,0.9233358,37.795147,44.62091,8.572342,73.18139,19.24627,15.485825,10.0,-0.1659398,1.2311562,0.8586408,0.09729304,1.2376544,0.9903453,30.14986,1.0181462,0.80259156,383.829,131.3881,-14.1592
2008-10-15 00:30:00,-18.846838054343053,75.09589972597223,55.478616673056344,55.478616673056344,30.53046008064516,0.02711631421839277,48.099774083870216,51.0,143.58403000291852,50.822257268896,89.41672297350253,346.7539155396572,414.2138241823307,366.9762072206787,23.385941121777886,0.86173505,0.82754856,37.54259,46.233307,8.572342,73.18139,19.24627,14.973503,10.0,-0.15148026,0.081387095,0.22218776,0.17592975,1.2187859,1.0272895,33.95493,1.009686,0.80259156,383.789,131.3881,-14.1592
